study,site_id,country,region,subject_count,avg_dqi_score,max_dqi_score,std_dqi_score,total_issue_types,avg_issue_types,high_risk_count,medium_risk_count,subjects_with_issues,sae_pending_count_sum,uncoded_meddra_count_sum,missing_visit_count_sum,missing_pages_count_sum,lab_issues_count_sum,max_days_outstanding_sum,max_days_page_missing_sum,uncoded_whodd_count_sum,edrr_open_issues_sum,inactivated_forms_count_sum,site_risk_category,anomaly_score,is_anomaly,high_risk_rate,issue_rate,cluster_id,cluster_probability,cluster_name
Study_1,Site 21,USA,AMERICA,3,0.1829855488079172,0.4480592105263158,0.2295606054723861,7,2.333333333333333,1,2,3,3,0,0,38,0,0,63,0,3,50,High,0.825,True,0.3333333333333333,1.0,2,0.9999761011086598,Data Laggards
Study_1,Site 22,USA,AMERICA,1,0.196612685560054,0.196612685560054,0.0,3,3.0,0,1,1,0,0,0,44,0,0,21,0,0,1,High,0.55,True,0.0,1.0,0,0.9999910848708098,Data Laggards
Study_1,Site 23,USA,AMERICA,3,0.236047731631085,0.3813669590643275,0.1694821937357238,11,3.6666666666666665,2,1,3,1,0,0,18,0,0,58,1,3,82,High,0.688,True,0.6666666666666666,1.0,2,0.9999985200968696,Data Laggards
Study_1,Site 24,USA,AMERICA,1,0.1091666666666666,0.1091666666666666,0.0,2,2.0,0,1,1,0,0,0,0,0,0,0,0,4,39,Medium,0.55,True,0.0,1.0,0,0.9999963705688334,Data Laggards
Study_1,Site 25,GBR,EMEA,2,0.0569871794871794,0.0633333333333333,0.0089748168381369,2,1.0,0,2,2,0,0,0,0,0,0,0,0,0,45,Medium,0.55,True,0.0,1.0,0,0.9999977598784229,Data Laggards
Study_1,Site 26,CHN,ASIA,3,0.0444444444444444,0.1333333333333333,0.0769800358919501,1,0.3333333333333333,0,1,1,0,0,0,10,0,0,0,0,0,0,Low,0.0,False,0.0,0.3333333333333333,5,0.9999876977817764,Data Laggards
Study_1,Site 27,CHN,ASIA,3,0.3427616051125225,0.5091341743119266,0.2534814443913265,12,4.0,2,1,3,40,2,0,4,0,0,0,2,2,85,High,1.1,True,0.6666666666666666,1.0,2,0.9999998053439006,Data Laggards
Study_1,Site 3,FRA,EMEA,3,0.1234551235901127,0.2436987041036717,0.1041339953667415,6,2.0,0,3,3,0,0,0,2,30,0,0,0,4,117,High,0.55,True,0.0,1.0,0,0.9999904569014048,Data Laggards
Study_1,Site 4,FRA,EMEA,2,0.3458266115026587,0.4248150332183952,0.1117064972608399,10,5.0,2,0,2,1,0,0,20,10,0,139,0,1,78,High,0.825,True,1.0,1.0,2,0.999999989025433,Data Laggards
Study_1,Site 5,AUT,EMEA,1,0.0983333333333333,0.0983333333333333,0.0,1,1.0,0,1,1,0,0,0,3,0,0,0,0,0,0,Medium,0.0,False,0.0,1.0,0,0.9999962988173132,Data Laggards
Study_1,Site 6,AUT,EMEA,2,0.3013817967163268,0.4289331840759285,0.1803849019034528,8,4.0,1,1,2,0,0,1,56,80,17,88,0,0,4,High,0.825,True,0.5,1.0,2,0.9999978990054046,Data Laggards
Study_1,Site 7,ISR,EMEA,1,0.2563781251676592,0.2563781251676592,0.0,5,5.0,1,0,1,0,0,0,4,0,0,218,1,1,39,High,0.55,True,1.0,1.0,2,0.9999999970325446,Data Laggards
Study_1,Site 8,ISR,EMEA,1,0.0502564102564102,0.0502564102564102,0.0,1,1.0,0,1,1,0,0,0,0,0,0,0,0,0,5,Medium,0.0,False,0.0,1.0,0,0.9999984120495102,Data Laggards
Study_1,Site 9,CZE,EMEA,1,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low,0.0,False,0.0,0.0,4,0.999998750667063,High Performers
Study_10,34,Unknown,Unknown,1,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low,0.0,False,0.0,0.0,4,0.999998750667063,High Performers
Study_10,Site 11,HUN,EMEA,1,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low,0.0,False,0.0,0.0,4,0.999998750667063,High Performers
Study_10,Site 149,POL,EMEA,2,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low,0.0,False,0.0,0.0,4,0.9999986327456657,High Performers
Study_10,Site 153,ITA,EMEA,1,0.1583333333333333,0.1583333333333333,0.0,1,1.0,0,1,1,0,2,0,0,0,0,0,0,0,0,High,0.0,False,0.0,1.0,0,0.9999970721330963,Data Laggards
Study_10,Site 154,ITA,EMEA,1,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low,0.0,False,0.0,0.0,4,0.999998750667063,High Performers
Study_10,Site 28,USA,AMERICA,4,0.0745019451075492,0.1291812865497076,0.0539655384277596,4,1.0,0,3,3,0,0,0,1,4,0,43,0,0,0,Medium,0.0,False,0.0,0.75,5,0.9998472384166839,Data Laggards
Study_10,Site 29,USA,AMERICA,1,0.2775332956910065,0.2775332956910065,0.0,3,3.0,1,0,1,0,0,2,0,2,45,0,0,0,0,High,0.0,False,1.0,1.0,2,0.9999999938843399,Data Laggards
Study_10,Site 32,USA,AMERICA,1,0.0688379204892966,0.0688379204892966,0.0,1,1.0,0,1,1,0,0,0,0,0,0,0,1,0,0,Medium,0.0,False,0.0,1.0,0,0.9999992172273346,Data Laggards
Study_10,Site 33,USA,AMERICA,2,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low,0.0,False,0.0,0.0,4,0.9999986327456657,High Performers
Study_10,Site 357,USA,AMERICA,1,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low,0.0,False,0.0,0.0,4,0.999998750667063,High Performers
Study_10,Site 36,USA,AMERICA,3,0.0687882469402447,0.1219514938804895,0.0624591641288191,3,1.0,0,2,2,0,0,0,0,6,0,0,0,1,0,Medium,0.0,False,0.0,0.6666666666666666,5,0.9999180051624468,Data Laggards
Study_10,Site 38,USA,AMERICA,6,0.0776793764393585,0.1726023391812865,0.0871648561697779,6,1.0,0,3,3,0,0,0,20,2,0,32,0,1,0,Medium,0.55,True,0.0,0.5,5,0.9988869123938589,Data Laggards
Study_10,Site 40,USA,AMERICA,3,0.1696256628537359,0.2702206814314087,0.1477454789670059,6,2.0,1,1,2,0,0,3,1,2,35,0,0,0,0,High,0.0,False,0.3333333333333333,0.6666666666666666,8,0.9999999986637409,Safety Concerns
Study_10,Site 42,USA,AMERICA,2,0.076373290136789,0.1527465802735781,0.1080081427145024,2,1.0,0,1,1,0,0,0,2,2,0,0,0,0,0,Medium,0.0,False,0.0,0.5,5,0.999300185138077,Data Laggards
Study_10,Site 451,USA,AMERICA,3,0.0847732181425486,0.0854931605471562,0.0006234884116518,3,1.0,0,3,3,0,0,0,0,8,0,0,0,0,0,Medium,0.0,False,0.0,1.0,0,0.9999949322979726,Data Laggards
Study_10,Site 452,USA,AMERICA,1,0.1927465802735781,0.1927465802735781,0.0,2,2.0,0,1,1,0,1,0,0,2,0,0,0,0,0,High,0.0,False,0.0,1.0,0,0.9999921214773729,Data Laggards
Study_10,Site 453,USA,AMERICA,6,0.0729260654736894,0.1208715802735781,0.0439399189375098,7,1.1666666666666667,0,5,5,0,0,0,0,8,0,0,2,1,2,Medium,0.0,False,0.0,0.8333333333333334,5,0.9993293636561168,Data Laggards
Study_10,Site 454,USA,AMERICA,2,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low,0.0,False,0.0,0.0,4,0.9999986327456657,High Performers
Study_10,Site 455,USA,AMERICA,6,0.0422066234701224,0.0844132469402448,0.046235039501426,3,0.5,0,3,3,0,0,0,0,6,0,0,0,0,0,Low,0.0,False,0.0,0.5,5,0.9999622046343926,Data Laggards
Study_10,Site 456,USA,AMERICA,1,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low,0.0,False,0.0,0.0,4,0.999998750667063,High Performers
Study_10,Site 457,USA,AMERICA,1,0.0854931605471562,0.0854931605471562,0.0,1,1.0,0,1,1,0,0,0,0,4,0,0,0,0,0,Medium,0.0,False,0.0,1.0,0,0.9999985745020386,Data Laggards
Study_10,Site 458,USA,AMERICA,2,0.0766255837147707,0.0844132469402448,0.0110134189526596,2,1.0,0,2,2,0,0,0,0,2,0,0,1,0,0,Medium,0.0,False,0.0,1.0,0,0.9999982129546312,Data Laggards
Study_10,Site 459,CHN,ASIA,2,0.071125730994152,0.142251461988304,0.1005869734056302,2,1.0,0,1,1,0,0,0,4,0,0,10,0,0,0,Medium,0.0,False,0.0,0.5,5,0.9997867305748991,Data Laggards
Study_10,Site 460,CHN,ASIA,3,0.0391452991452991,0.1174358974358974,0.0678016469971406,2,0.6666666666666666,0,1,1,0,0,0,0,0,0,0,8,0,2,Low,0.0,False,0.0,0.3333333333333333,5,0.9999918421030538,Data Laggards
Study_10,Site 461,JPN,ASIA,2,0.0844132469402448,0.0844132469402448,0.0,2,1.0,0,2,2,0,0,0,0,4,0,0,0,0,0,Medium,0.0,False,0.0,1.0,0,0.999997671501138,Data Laggards
Study_10,Site 462,JPN,ASIA,2,0.1790779684993621,0.2054093567251462,0.037238206345015,5,2.5,0,2,2,0,0,0,5,2,0,7,14,0,0,High,0.0,False,0.0,1.0,0,0.9999851685756944,Data Laggards
Study_10,Site 463,JPN,ASIA,4,0.189677161543424,0.3558771929824561,0.1313372091734441,9,2.25,1,3,4,0,4,1,3,6,8,15,33,0,0,High,0.0,False,0.25,1.0,2,0.9999511229296019,Data Laggards
Study_10,Site 464,POL,EMEA,2,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low,0.0,False,0.0,0.0,4,0.9999986327456657,High Performers
Study_10,Site 465,ESP,EMEA,3,0.0167521367521367,0.0502564102564102,0.0290155519900427,1,0.3333333333333333,0,1,1,0,0,0,0,0,0,0,0,0,5,Low,0.0,False,0.0,0.3333333333333333,5,0.9999827220229136,Data Laggards
Study_10,Site 50,CAN,AMERICA,2,0.1063322071848931,0.1282511674295414,0.0309980908510983,3,1.5,0,2,2,0,0,0,0,4,0,0,1,0,0,Medium,0.0,False,0.0,1.0,0,0.9999950336640592,Data Laggards
Study_10,Site 51,CAN,AMERICA,3,0.0281377489800816,0.0844132469402448,0.0487360108441206,1,0.3333333333333333,0,1,1,0,0,0,0,2,0,0,0,0,0,Low,0.0,False,0.0,0.3333333333333333,5,0.9999937042863737,Data Laggards
Study_10,Site 79,CHN,ASIA,1,0.1853846153846153,0.1853846153846153,0.0,3,3.0,0,1,1,0,0,0,2,0,0,0,6,0,1,High,0.0,False,0.0,1.0,0,0.9999937305335531,Data Laggards
Study_10,Site 8,CHN,ASIA,3,0.0444444444444444,0.1333333333333333,0.0769800358919501,1,0.3333333333333333,0,1,1,0,1,0,0,0,0,0,0,0,0,Low,0.0,False,0.0,0.3333333333333333,5,0.9999876977817764,Data Laggards
Study_10,Site 87,CZE,EMEA,1,0.1033333333333333,0.1033333333333333,0.0,1,1.0,0,1,1,0,0,0,4,0,0,0,0,0,0,Medium,0.0,False,0.0,1.0,0,0.9999959245299731,Data Laggards
Study_10,Site 9,JPN,ASIA,3,0.0562754979601632,0.0844132469402448,0.0487360108441206,2,0.6666666666666666,0,2,2,0,0,0,0,4,0,0,0,0,0,Medium,0.0,False,0.0,0.6666666666666666,5,0.9998764839749036,Data Laggards
Study_11,148,Unknown,Unknown,1,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low,0.0,False,0.0,0.0,4,0.999998750667063,High Performers
Study_11,Site 12,ESP,EMEA,2,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low,0.0,False,0.0,0.0,4,0.9999986327456657,High Performers
Study_11,Site 125,NLD,EMEA,1,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low,0.0,False,0.0,0.0,4,0.999998750667063,High Performers
Study_11,Site 127,NLD,EMEA,1,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low,0.0,False,0.0,0.0,4,0.999998750667063,High Performers
Study_11,Site 128,NLD,EMEA,3,0.1568288662953341,0.3163345521023766,0.1581842635519617,6,2.0,1,1,2,0,0,1,4,0,31,1002,0,0,0,High,1.05,True,0.3333333333333333,0.6666666666666666,8,0.9999996066264673,Safety Concerns
Study_11,Site 130,POL,EMEA,2,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low,0.0,False,0.0,0.0,4,0.9999986327456657,High Performers
Study_11,Site 131,POL,EMEA,3,0.0588888888888889,0.0883333333333333,0.0509992737784169,2,0.6666666666666666,0,2,2,0,0,0,2,0,0,0,0,0,0,Medium,0.0,False,0.0,0.6666666666666666,5,0.9999056434184966,Data Laggards
Study_11,Site 14,CAN,AMERICA,1,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low,0.0,False,0.0,0.0,4,0.999998750667063,High Performers
Study_11,Site 148,CHE,EMEA,10,0.0186666666666666,0.0933333333333333,0.0393527886598731,2,0.2,0,2,2,0,0,0,4,0,0,0,0,0,0,Low,0.0,False,0.0,0.2,5,0.9998973809942345,Data Laggards
Study_11,Site 149,CHE,EMEA,7,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low,0.0,False,0.0,0.0,4,0.9999976168767662,High Performers
Study_11,Site 15,CAN,AMERICA,1,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low,0.0,False,0.0,0.0,4,0.999998750667063,High Performers
Study_11,Site 155,GBR,EMEA,1,0.1477465802735781,0.1477465802735781,0.0,2,2.0,0,1,1,0,0,0,1,2,0,0,0,0,0,High,0.0,False,0.0,1.0,0,0.9999977526512354,Data Laggards
Study_11,Site 157,GBR,EMEA,1,0.2333333333333333,0.2333333333333333,0.0,1,1.0,1,0,1,15,0,0,0,0,0,0,0,0,0,High,0.55,True,1.0,1.0,2,0.9999999990648112,Data Laggards
Study_11,Site 158,GBR,EMEA,6,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low,0.0,False,0.0,0.0,4,0.9999978963593812,High Performers
Study_11,Site 178,USA,AMERICA,1,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low,0.0,False,0.0,0.0,4,0.999998750667063,High Performers
Study_11,Site 18,USA,AMERICA,5,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low,0.0,False,0.0,0.0,4,0.9999981305379673,High Performers
Study_11,Site 181,USA,AMERICA,2,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low,0.0,False,0.0,0.0,4,0.9999986327456657,High Performers
Study_11,Site 183,USA,AMERICA,1,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low,0.0,False,0.0,0.0,4,0.999998750667063,High Performers
Study_11,Site 184,USA,AMERICA,2,0.0783333333333333,0.1566666666666666,0.1107800623858924,2,1.0,0,1,1,0,0,0,1,0,0,526,0,0,0,Medium,0.825,True,0.0,0.5,5,0.9988371029854504,Data Laggards
Study_11,Site 186,USA,AMERICA,2,0.0688011695906432,0.1376023391812865,0.097299547142219,2,1.0,0,1,1,0,0,0,3,0,0,16,0,0,0,Medium,0.0,False,0.0,0.5,5,0.9998635224000242,Data Laggards
Study_11,Site 188,USA,AMERICA,1,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low,0.0,False,0.0,0.0,4,0.999998750667063,High Performers
Study_11,Site 189,USA,AMERICA,4,0.0454166666666666,0.0933333333333333,0.052482360352295,2,0.5,0,2,2,0,0,0,3,0,0,0,0,0,0,Low,0.0,False,0.0,0.5,5,0.9999714290258096,Data Laggards
Study_11,Site 2,JPN,ASIA,3,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low,0.0,False,0.0,0.0,4,0.9999984930023182,High Performers
Study_11,Site 20,USA,AMERICA,6,0.0228418803418803,0.0883333333333333,0.0375385330553706,2,0.3333333333333333,0,2,2,0,0,0,1,0,0,0,0,0,1,Low,0.0,False,0.0,0.3333333333333333,5,0.999993298144961,Data Laggards
Study_11,Site 21,USA,AMERICA,5,0.0323333333333333,0.1616666666666666,0.0722995312724932,2,0.4,0,1,1,0,0,0,2,0,0,530,0,0,0,Low,0.825,True,0.0,0.2,5,0.9998445493522286,Data Laggards
Study_11,Site 24,USA,AMERICA,1,0.1566666666666666,0.1566666666666666,0.0,2,2.0,0,1,1,0,0,0,1,0,0,517,0,0,0,High,0.825,True,0.0,1.0,0,0.9999971950882047,Data Laggards
Study_11,Site 28,JPN,ASIA,3,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low,0.0,False,0.0,0.0,4,0.9999984930023182,High Performers
Study_11,Site 29,JPN,ASIA,1,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low,0.0,False,0.0,0.0,4,0.999998750667063,High Performers
Study_11,Site 31,JPN,ASIA,1,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low,0.0,False,0.0,0.0,4,0.999998750667063,High Performers
Study_11,Site 326,USA,AMERICA,1,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low,0.0,False,0.0,0.0,4,0.999998750667063,High Performers
Study_11,Site 330,USA,AMERICA,1,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low,0.0,False,0.0,0.0,4,0.999998750667063,High Performers
Study_11,Site 34,JPN,ASIA,2,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low,0.0,False,0.0,0.0,4,0.9999986327456657,High Performers
Study_11,Site 35,JPN,ASIA,9,0.0691901345140095,0.2105045871559633,0.0881584698670247,8,0.8888888888888888,0,4,4,0,0,0,8,1,0,1767,1,0,0,Medium,1.083,True,0.0,0.4444444444444444,5,0.9998189630979057,Data Laggards
Study_11,Site 350,BRA,AMERICA,1,0.0883333333333333,0.0883333333333333,0.0,1,1.0,0,1,1,0,0,0,1,0,0,0,0,0,0,Medium,0.0,False,0.0,1.0,0,0.9999981438414678,Data Laggards
Study_11,Site 351,CHL,AMERICA,4,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low,0.0,False,0.0,0.0,4,0.999998327304442,High Performers
Study_11,Site 353,ESP,EMEA,5,0.0186666666666666,0.0933333333333333,0.041739935579996,1,0.2,0,1,1,0,0,0,2,0,0,0,0,0,0,Low,0.0,False,0.0,0.2,5,0.999930058933891,Data Laggards
Study_11,Site 357,JPN,ASIA,3,0.0816666666666666,0.1566666666666666,0.0785458111196545,3,1.0,0,2,2,0,0,0,2,0,0,547,0,0,0,Medium,0.825,True,0.0,0.6666666666666666,5,0.9997229697035052,Data Laggards
Study_11,Site 358,HUN,EMEA,10,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low,0.0,False,0.0,0.0,4,0.9999963949197164,High Performers
Study_11,Site 359,HUN,EMEA,1,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low,0.0,False,0.0,0.0,4,0.999998750667063,High Performers
Study_11,Site 36,JPN,ASIA,1,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low,0.0,False,0.0,0.0,4,0.999998750667063,High Performers
Study_11,Site 37,JPN,ASIA,1,0.0883333333333333,0.0883333333333333,0.0,1,1.0,0,1,1,0,0,0,1,0,0,0,0,0,0,Medium,0.0,False,0.0,1.0,0,0.9999981438414678,Data Laggards
Study_11,Site 39,JPN,ASIA,1,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low,0.0,False,0.0,0.0,4,0.999998750667063,High Performers
Study_11,Site 4,JPN,ASIA,6,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low,0.0,False,0.0,0.0,4,0.9999978963593812,High Performers
Study_11,Site 41,JPN,ASIA,8,0.0220833333333333,0.0883333333333333,0.0408903877399543,2,0.25,0,2,2,0,0,0,2,0,0,0,0,0,0,Low,0.0,False,0.0,0.25,5,0.9999638986290996,Data Laggards
Study_11,Site 417,ITA,EMEA,1,0.2966666666666667,0.2966666666666667,0.0,2,2.0,1,0,1,32,0,0,1,0,0,0,0,0,0,High,0.8,True,1.0,1.0,2,0.9999999910900805,Data Laggards
Study_11,Site 42,JPN,ASIA,2,0.0783333333333333,0.1566666666666666,0.1107800623858924,2,1.0,0,1,1,0,0,0,1,0,0,513,0,0,0,Medium,0.825,True,0.0,0.5,5,0.9988371029854504,Data Laggards
Study_11,Site 450,USA,AMERICA,6,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low,0.0,False,0.0,0.0,4,0.9999978963593812,High Performers
Study_11,Site 452,JPN,ASIA,2,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low,0.0,False,0.0,0.0,4,0.9999986327456657,High Performers
Study_11,Site 453,JPN,ASIA,1,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low,0.0,False,0.0,0.0,4,0.999998750667063,High Performers
Study_11,Site 454,JPN,ASIA,4,0.0343713450292397,0.137485380116959,0.0687426900584795,2,0.5,0,1,1,0,0,0,3,0,0,14,0,0,0,Low,0.0,False,0.0,0.25,5,0.9999454486350551,Data Laggards
Study_11,Site 455,JPN,ASIA,2,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low,0.0,False,0.0,0.0,4,0.9999986327456657,High Performers
Study_11,Site 459,CZE,EMEA,6,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low,0.0,False,0.0,0.0,4,0.9999978963593812,High Performers
Study_11,Site 466,AUS,ASIA,9,0.0098148148148148,0.0883333333333333,0.0294444444444444,1,0.1111111111111111,0,1,1,0,0,0,1,0,0,0,0,0,0,Low,0.0,False,0.0,0.1111111111111111,5,0.9998744014266353,Data Laggards
Study_11,Site 467,AUS,ASIA,7,0.0322870249017038,0.1376758409785932,0.0569506381701411,3,0.4285714285714285,0,2,2,0,0,0,2,0,0,0,2,0,0,Low,0.0,False,0.0,0.2857142857142857,5,0.9999789537665353,Data Laggards
Study_11,Site 468,AUS,ASIA,5,0.0466666666666666,0.2333333333333333,0.1043498389499901,1,0.2,1,0,1,7,0,0,0,0,0,0,0,0,0,Low,0.825,True,0.2,0.2,9,0.9991968298609065,Safety Concerns
Study_11,Site 469,LBN,EMEA,1,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low,0.0,False,0.0,0.0,4,0.999998750667063,High Performers
Study_11,Site 470,ZAF,EMEA,2,0.0783333333333333,0.1566666666666666,0.1107800623858924,2,1.0,0,1,1,0,0,0,1,0,0,625,0,0,0,Medium,0.825,True,0.0,0.5,5,0.9988371029854504,Data Laggards
Study_11,Site 471,CZE,EMEA,2,0.0783333333333333,0.1566666666666666,0.1107800623858924,2,1.0,0,1,1,0,0,0,1,0,0,714,0,0,0,Medium,1.1,True,0.0,0.5,5,0.9988371029854504,Data Laggards
Study_11,Site 472,CZE,EMEA,8,0.074669408897014,0.2440219378427788,0.0811996237319047,7,0.875,0,5,5,0,0,1,6,0,11,0,0,0,0,Medium,0.0,False,0.0,0.625,5,0.9996817348041038,Data Laggards
Study_11,Site 473,CZE,EMEA,4,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low,0.0,False,0.0,0.0,4,0.999998327304442,High Performers
