study,site_id,country,region,subject_count,site_risk_category,cluster_id,cluster_name,prob_cluster_0,prob_cluster_1,prob_cluster_2
Study_10,Site 36,USA,AMERICA,3,Medium,1,Cluster_1_Completeness_Issues,0.0,0.9993837866299976,0.0006162133700012695
Study_10,Site 38,USA,AMERICA,6,Medium,1,Cluster_1_Completeness_Issues,0.0,0.9999999999499181,5.008190560710294e-11
Study_10,Site 40,USA,AMERICA,3,High,2,Cluster_2_High_Risk_Elevated_DQI,0.0,8.6053869305536e-36,1.0
Study_10,Site 42,USA,AMERICA,2,Medium,1,Cluster_1_Completeness_Issues,0.0,0.9999999997480788,2.519209800166937e-10
Study_10,Site 451,USA,AMERICA,3,Medium,2,Cluster_2_High_Risk_Elevated_DQI,0.0,0.0016193986176787298,0.9983806013823205
Study_10,Site 452,USA,AMERICA,1,High,2,Cluster_2_High_Risk_Elevated_DQI,0.0,0.0,1.0
Study_10,Site 453,USA,AMERICA,6,Medium,1,Cluster_1_Completeness_Issues,0.0,0.999999994525198,5.474801723893026e-09
Study_10,Site 454,USA,AMERICA,2,Low,0,Cluster_0_Low_Risk,0.9999999999999964,2.2670635656672173e-15,1.9414551030072474e-27
Study_10,Site 455,USA,AMERICA,6,Low,1,Cluster_1_Completeness_Issues,0.0,0.9999999996989306,3.010694536817619e-10
Study_10,Site 456,USA,AMERICA,1,Low,0,Cluster_0_Low_Risk,1.0,1.0509911671384543e-15,4.642458521703675e-28
Study_10,Site 457,USA,AMERICA,1,Medium,2,Cluster_2_High_Risk_Elevated_DQI,0.0,1.9455654201625448e-24,1.0
Study_10,Site 458,USA,AMERICA,2,Medium,1,Cluster_1_Completeness_Issues,0.0,0.9999999999723679,2.7631712961721577e-11
Study_10,Site 459,CHN,ASIA,2,Medium,1,Cluster_1_Completeness_Issues,0.0,0.9999999999990923,9.077914793878749e-13
Study_10,Site 460,CHN,ASIA,3,Low,1,Cluster_1_Completeness_Issues,8.528818086032343e-17,0.9999999999985072,1.4926122541272315e-12
Study_10,Site 461,JPN,ASIA,2,Medium,1,Cluster_1_Completeness_Issues,0.0,0.9999544668735931,4.553312640724123e-05
Study_10,Site 462,JPN,ASIA,2,High,1,Cluster_1_Completeness_Issues,0.0,0.9999999880795176,1.192048236414176e-08
Study_10,Site 463,JPN,ASIA,4,High,2,Cluster_2_High_Risk_Elevated_DQI,0.0,0.0,1.0
Study_10,Site 464,POL,EMEA,2,Low,0,Cluster_0_Low_Risk,0.9999999999999964,2.2670635656672173e-15,1.9414551030072474e-27
Study_10,Site 465,ESP,EMEA,3,Low,0,Cluster_0_Low_Risk,0.9999999999999787,2.0090269675958228e-14,4.2570412073037355e-26
Study_10,Site 50,CAN,AMERICA,2,Medium,1,Cluster_1_Completeness_Issues,0.0,0.99994307683175,5.692316824895574e-05
Study_10,Site 51,CAN,AMERICA,3,Low,1,Cluster_1_Completeness_Issues,0.0,0.999999999985764,1.4236047751945906e-11
Study_10,Site 79,CHN,ASIA,1,High,1,Cluster_1_Completeness_Issues,0.0,0.9999999956493895,4.35061129091966e-09
Study_10,Site 8,CHN,ASIA,3,Low,2,Cluster_2_High_Risk_Elevated_DQI,0.0,0.0,1.0
Study_10,Site 87,CZE,EMEA,1,Medium,1,Cluster_1_Completeness_Issues,0.0,0.9999999999990897,9.102366048425458e-13
Study_10,Site 9,JPN,ASIA,3,Medium,1,Cluster_1_Completeness_Issues,0.0,0.9999999938954343,6.104566049833456e-09
Study_11,148,Unknown,Unknown,1,Low,0,Cluster_0_Low_Risk,1.0,1.0509911671384543e-15,4.642458521703675e-28
Study_11,Site 12,ESP,EMEA,2,Low,0,Cluster_0_Low_Risk,0.9999999999999964,2.2670635656672173e-15,1.9414551030072474e-27
Study_11,Site 125,NLD,EMEA,1,Low,0,Cluster_0_Low_Risk,1.0,1.0509911671384543e-15,4.642458521703675e-28
Study_11,Site 127,NLD,EMEA,1,Low,0,Cluster_0_Low_Risk,1.0,1.0509911671384543e-15,4.642458521703675e-28
Study_11,Site 128,NLD,EMEA,3,High,1,Cluster_1_Completeness_Issues,0.0,1.0,1.4028522841125008e-17
Study_11,Site 130,POL,EMEA,2,Low,0,Cluster_0_Low_Risk,0.9999999999999964,2.2670635656672173e-15,1.9414551030072474e-27
Study_11,Site 131,POL,EMEA,3,Medium,1,Cluster_1_Completeness_Issues,5.4200158235505506e-204,0.9999999999994369,5.63310301389897e-13
Study_11,Site 14,CAN,AMERICA,1,Low,0,Cluster_0_Low_Risk,1.0,1.0509911671384543e-15,4.642458521703675e-28
Study_11,Site 148,CHE,EMEA,10,Low,1,Cluster_1_Completeness_Issues,9.951731795971936e-60,0.9999999999971934,2.806618812820843e-12
Study_11,Site 149,CHE,EMEA,7,Low,0,Cluster_0_Low_Risk,0.9999999999999964,4.596536144984012e-15,2.735937423305616e-26
Study_11,Site 15,CAN,AMERICA,1,Low,0,Cluster_0_Low_Risk,1.0,1.0509911671384543e-15,4.642458521703675e-28
Study_11,Site 155,GBR,EMEA,1,High,1,Cluster_1_Completeness_Issues,0.0,0.9994975558773616,0.0005024441226381761
Study_11,Site 157,GBR,EMEA,1,High,2,Cluster_2_High_Risk_Elevated_DQI,0.0,0.0,1.0
Study_11,Site 158,GBR,EMEA,6,Low,0,Cluster_0_Low_Risk,0.9999999999999964,4.5951443848285016e-15,2.0424493852363178e-26
Study_11,Site 178,USA,AMERICA,1,Low,0,Cluster_0_Low_Risk,1.0,1.0509911671384543e-15,4.642458521703675e-28
Study_11,Site 18,USA,AMERICA,5,Low,0,Cluster_0_Low_Risk,0.9999999999999964,4.424035880131437e-15,1.4191955094535635e-26
Study_11,Site 181,USA,AMERICA,2,Low,0,Cluster_0_Low_Risk,0.9999999999999964,2.2670635656672173e-15,1.9414551030072474e-27
Study_11,Site 183,USA,AMERICA,1,Low,0,Cluster_0_Low_Risk,1.0,1.0509911671384543e-15,4.642458521703675e-28
Study_11,Site 184,USA,AMERICA,2,Medium,1,Cluster_1_Completeness_Issues,0.0,1.0,3.727043972950051e-20
Study_11,Site 186,USA,AMERICA,2,Medium,1,Cluster_1_Completeness_Issues,0.0,0.9999999999991787,8.214459891542545e-13
Study_11,Site 188,USA,AMERICA,1,Low,0,Cluster_0_Low_Risk,1.0,1.0509911671384543e-15,4.642458521703675e-28
Study_11,Site 189,USA,AMERICA,4,Low,1,Cluster_1_Completeness_Issues,2.9378014749225207e-253,0.999999999999035,9.650631800190805e-13
Study_11,Site 2,JPN,ASIA,3,Low,0,Cluster_0_Low_Risk,0.9999999999999964,3.303098520837712e-15,4.754072034079001e-27
Study_11,Site 20,USA,AMERICA,6,Low,0,Cluster_0_Low_Risk,0.9754044058084912,0.024595594191465966,4.329814649920071e-14
Study_11,Site 21,USA,AMERICA,5,Low,1,Cluster_1_Completeness_Issues,0.0,0.9999999999999434,5.659631751682746e-14
Study_11,Site 24,USA,AMERICA,1,High,1,Cluster_1_Completeness_Issues,0.0,1.0,1.2163039530592322e-39
Study_11,Site 28,JPN,ASIA,3,Low,0,Cluster_0_Low_Risk,0.9999999999999964,3.303098520837712e-15,4.754072034079001e-27
Study_11,Site 29,JPN,ASIA,1,Low,0,Cluster_0_Low_Risk,1.0,1.0509911671384543e-15,4.642458521703675e-28
Study_11,Site 31,JPN,ASIA,1,Low,0,Cluster_0_Low_Risk,1.0,1.0509911671384543e-15,4.642458521703675e-28
Study_11,Site 326,USA,AMERICA,1,Low,0,Cluster_0_Low_Risk,1.0,1.0509911671384543e-15,4.642458521703675e-28
Study_11,Site 330,USA,AMERICA,1,Low,0,Cluster_0_Low_Risk,1.0,1.0509911671384543e-15,4.642458521703675e-28
Study_11,Site 34,JPN,ASIA,2,Low,0,Cluster_0_Low_Risk,0.9999999999999964,2.2670635656672173e-15,1.9414551030072474e-27
Study_11,Site 35,JPN,ASIA,9,Medium,1,Cluster_1_Completeness_Issues,0.0,0.9999999999999991,1.0292982690868652e-15
Study_11,Site 350,BRA,AMERICA,1,Medium,1,Cluster_1_Completeness_Issues,0.0,0.9999999999998934,1.0659066905393276e-13
Study_11,Site 351,CHL,AMERICA,4,Low,0,Cluster_0_Low_Risk,0.9999999999999964,4.015486583897409e-15,8.893253760915574e-27
Study_11,Site 353,ESP,EMEA,5,Low,1,Cluster_1_Completeness_Issues,2.8586636147101503e-59,0.9999999999986715,1.3285111902653935e-12
Study_11,Site 357,JPN,ASIA,3,Medium,1,Cluster_1_Completeness_Issues,0.0,0.9999999999999998,1.6588169573513626e-16
Study_11,Site 358,HUN,EMEA,10,Low,0,Cluster_0_Low_Risk,0.9999999999999964,4.07141912165501e-15,5.039484910839949e-26
Study_11,Site 359,HUN,EMEA,1,Low,0,Cluster_0_Low_Risk,1.0,1.0509911671384543e-15,4.642458521703675e-28
Study_11,Site 36,JPN,ASIA,1,Low,0,Cluster_0_Low_Risk,1.0,1.0509911671384543e-15,4.642458521703675e-28
Study_11,Site 37,JPN,ASIA,1,Medium,1,Cluster_1_Completeness_Issues,0.0,0.9999999999998934,1.0659066905393276e-13
Study_11,Site 39,JPN,ASIA,1,Low,0,Cluster_0_Low_Risk,1.0,1.0509911671384543e-15,4.642458521703675e-28
Study_11,Site 4,JPN,ASIA,6,Low,0,Cluster_0_Low_Risk,0.9999999999999964,4.5951443848285016e-15,2.0424493852363178e-26
Study_11,Site 41,JPN,ASIA,8,Low,1,Cluster_1_Completeness_Issues,1.7445800257756528e-15,0.9999999999977098,2.2883406148446785e-12
Study_11,Site 417,ITA,EMEA,1,High,2,Cluster_2_High_Risk_Elevated_DQI,0.0,0.0,1.0
Study_11,Site 42,JPN,ASIA,2,Medium,1,Cluster_1_Completeness_Issues,0.0,1.0,8.231682056593507e-20
Study_11,Site 450,USA,AMERICA,6,Low,0,Cluster_0_Low_Risk,0.9999999999999964,4.5951443848285016e-15,2.0424493852363178e-26
Study_11,Site 452,JPN,ASIA,2,Low,0,Cluster_0_Low_Risk,0.9999999999999964,2.2670635656672173e-15,1.9414551030072474e-27
Study_11,Site 453,JPN,ASIA,1,Low,0,Cluster_0_Low_Risk,1.0,1.0509911671384543e-15,4.642458521703675e-28
Study_11,Site 454,JPN,ASIA,4,Low,1,Cluster_1_Completeness_Issues,0.0,0.9999999999988172,1.1827288525468496e-12
Study_11,Site 455,JPN,ASIA,2,Low,0,Cluster_0_Low_Risk,0.9999999999999964,2.2670635656672173e-15,1.9414551030072474e-27
Study_11,Site 459,CZE,EMEA,6,Low,0,Cluster_0_Low_Risk,0.9999999999999964,4.5951443848285016e-15,2.0424493852363178e-26
Study_11,Site 466,AUS,ASIA,9,Low,0,Cluster_0_Low_Risk,0.9999999965415753,3.4584236716744085e-09,8.296639774703135e-21
Study_11,Site 467,AUS,ASIA,7,Low,1,Cluster_1_Completeness_Issues,1.0132299333936432e-27,0.9999999999977445,2.2554497912717274e-12
Study_11,Site 468,AUS,ASIA,5,Low,2,Cluster_2_High_Risk_Elevated_DQI,0.0,0.0,1.0
Study_11,Site 469,LBN,EMEA,1,Low,0,Cluster_0_Low_Risk,1.0,1.0509911671384543e-15,4.642458521703675e-28
Study_11,Site 470,ZAF,EMEA,2,Medium,1,Cluster_1_Completeness_Issues,0.0,1.0,5.108858772392971e-23
Study_11,Site 471,CZE,EMEA,2,Medium,1,Cluster_1_Completeness_Issues,0.0,1.0,5.870673487851538e-26
Study_11,Site 472,CZE,EMEA,8,Medium,1,Cluster_1_Completeness_Issues,0.0,0.9999999999880487,1.195128850902892e-11
Study_11,Site 473,CZE,EMEA,4,Low,0,Cluster_0_Low_Risk,0.9999999999999964,4.015486583897409e-15,8.893253760915574e-27
Study_11,Site 474,CZE,EMEA,8,Medium,1,Cluster_1_Completeness_Issues,0.0,0.9999999999998367,1.633379493726962e-13
Study_11,Site 475,DNK,EMEA,3,Low,1,Cluster_1_Completeness_Issues,2.668662113775519e-38,0.9999999999989773,1.0226861610936534e-12
Study_11,Site 476,DNK,EMEA,2,High,2,Cluster_2_High_Risk_Elevated_DQI,0.0,6.120400289126831e-05,0.9999387959971077
Study_11,Site 477,DNK,EMEA,6,Low,1,Cluster_1_Completeness_Issues,0.0,0.9999999999996885,3.115374359372712e-13
Study_11,Site 478,DNK,EMEA,3,Low,0,Cluster_0_Low_Risk,0.9999999999999964,3.303098520837712e-15,4.754072034079001e-27
Study_11,Site 479,FRA,EMEA,4,Medium,1,Cluster_1_Completeness_Issues,0.0,0.999999999999998,2.0646737188307332e-15
Study_11,Site 480,FRA,EMEA,8,Medium,1,Cluster_1_Completeness_Issues,0.0,1.0,9.847843848656436e-17
Study_11,Site 481,FRA,EMEA,1,Low,0,Cluster_0_Low_Risk,1.0,1.0509911671384543e-15,4.642458521703675e-28
Study_11,Site 482,FRA,EMEA,4,High,2,Cluster_2_High_Risk_Elevated_DQI,3.364480928457679e-31,0.0,1.0
Study_11,Site 483,FRA,EMEA,7,Low,0,Cluster_0_Low_Risk,0.9999999999999964,4.596536144984012e-15,2.735937423305616e-26
Study_11,Site 484,FRA,EMEA,2,Low,0,Cluster_0_Low_Risk,0.9999999999999964,2.2670635656672173e-15,1.9414551030072474e-27
Study_11,Site 485,FRA,EMEA,6,Low,0,Cluster_0_Low_Risk,0.9999999999999964,4.5951443848285016e-15,2.0424493852363178e-26
Study_11,Site 486,FRA,EMEA,2,Low,0,Cluster_0_Low_Risk,0.9999999999999964,2.2670635656672173e-15,1.9414551030072474e-27
Study_11,Site 487,FRA,EMEA,5,Low,0,Cluster_0_Low_Risk,0.9999999999999964,4.424035880131437e-15,1.4191955094535635e-26
Study_11,Site 488,FRA,EMEA,4,High,1,Cluster_1_Completeness_Issues,0.0,1.0,1.937344063841807e-34
Study_11,Site 489,FRA,EMEA,5,Low,1,Cluster_1_Completeness_Issues,0.0,0.9999999999999516,4.834879175281066e-14
Study_11,Site 490,FRA,EMEA,2,Low,0,Cluster_0_Low_Risk,0.9999999999999964,2.2670635656672173e-15,1.9414551030072474e-27
Study_11,Site 491,FRA,EMEA,3,Medium,2,Cluster_2_High_Risk_Elevated_DQI,4.323590723959804e-37,0.0,1.0
Study_11,Site 492,FRA,EMEA,3,Low,1,Cluster_1_Completeness_Issues,0.0,0.9999999999989178,1.0822581519320548e-12
Study_11,Site 493,DEU,EMEA,5,High,2,Cluster_2_High_Risk_Elevated_DQI,0.0,0.0,1.0
Study_11,Site 494,DEU,EMEA,2,Low,0,Cluster_0_Low_Risk,0.9999999999999964,2.2670635656672173e-15,1.9414551030072474e-27
Study_11,Site 495,DEU,EMEA,2,Low,0,Cluster_0_Low_Risk,0.9999999999999964,2.2670635656672173e-15,1.9414551030072474e-27
Study_11,Site 496,DEU,EMEA,3,Medium,2,Cluster_2_High_Risk_Elevated_DQI,0.0,2.432261070696766e-06,0.9999975677389287
Study_11,Site 497,DEU,EMEA,3,Low,0,Cluster_0_Low_Risk,0.9999999999999964,3.303098520837712e-15,4.754072034079001e-27
Study_11,Site 498,DEU,EMEA,5,Low,0,Cluster_0_Low_Risk,0.9999999999999964,4.424035880131437e-15,1.4191955094535635e-26
Study_11,Site 499,DEU,EMEA,3,High,1,Cluster_1_Completeness_Issues,0.0,1.0,5.494476357328875e-22
Study_11,Site 5,ZAF,EMEA,5,Low,1,Cluster_1_Completeness_Issues,1.4332575498268728e-59,0.9999999999985723,1.427598456026151e-12
Study_11,Site 50,TUR,EMEA,1,Low,0,Cluster_0_Low_Risk,1.0,1.0509911671384543e-15,4.642458521703675e-28
Study_11,Site 500,DEU,EMEA,4,Medium,1,Cluster_1_Completeness_Issues,0.0,0.9999999999999942,5.9384347466398e-15
Study_11,Site 501,DEU,EMEA,5,High,1,Cluster_1_Completeness_Issues,0.0,1.0,1.047752174842908e-19
Study_11,Site 502,ITA,EMEA,2,Low,0,Cluster_0_Low_Risk,0.9999999999999964,2.2670635656672173e-15,1.9414551030072474e-27
Study_11,Site 503,ITA,EMEA,8,Medium,1,Cluster_1_Completeness_Issues,0.0,0.9999999999999996,4.979915495580824e-16
Study_11,Site 504,ITA,EMEA,2,Low,0,Cluster_0_Low_Risk,0.9999999999999964,2.2670635656672173e-15,1.9414551030072474e-27
Study_11,Site 505,ITA,EMEA,6,Medium,1,Cluster_1_Completeness_Issues,0.0,0.9999999999999967,3.3960529994186922e-15
Study_11,Site 506,ITA,EMEA,5,Low,1,Cluster_1_Completeness_Issues,1.3436731265884996e-155,0.999999999998693,1.3070964308852191e-12
Study_11,Site 507,ITA,EMEA,2,High,2,Cluster_2_High_Risk_Elevated_DQI,0.0,5.9741572755375285e-30,1.0
Study_11,Site 508,ITA,EMEA,1,Low,0,Cluster_0_Low_Risk,1.0,1.0509911671384543e-15,4.642458521703675e-28
Study_11,Site 509,POL,EMEA,1,Low,0,Cluster_0_Low_Risk,1.0,1.0509911671384543e-15,4.642458521703675e-28
Study_11,Site 510,POL,EMEA,2,Low,1,Cluster_1_Completeness_Issues,3.064178857983926e-106,0.9999999999992304,7.695351577598141e-13
Study_11,Site 511,POL,EMEA,2,Low,0,Cluster_0_Low_Risk,0.9999999999999964,2.2670635656672173e-15,1.9414551030072474e-27
Study_11,Site 512,ESP,EMEA,4,Low,1,Cluster_1_Completeness_Issues,4.120356494297411e-15,0.9999999999987959,1.2001082885543443e-12
Study_11,Site 513,ESP,EMEA,3,Low,0,Cluster_0_Low_Risk,0.9999999999999964,3.303098520837712e-15,4.754072034079001e-27
Study_11,Site 514,ESP,EMEA,3,Low,0,Cluster_0_Low_Risk,0.9999999999999964,3.303098520837712e-15,4.754072034079001e-27
Study_11,Site 515,ESP,EMEA,4,Low,0,Cluster_0_Low_Risk,0.9999999999999964,4.015486583897409e-15,8.893253760915574e-27
Study_11,Site 516,ESP,EMEA,4,Medium,1,Cluster_1_Completeness_Issues,1.5136995736210253e-113,0.999999999998086,1.914217582141234e-12
Study_11,Site 517,CHE,EMEA,1,Low,0,Cluster_0_Low_Risk,1.0,1.0509911671384543e-15,4.642458521703675e-28
Study_11,Site 518,ISR,EMEA,4,Low,1,Cluster_1_Completeness_Issues,4.120356494297411e-15,0.9999999999987959,1.2001082885543443e-12
Study_11,Site 519,ISR,EMEA,5,Medium,1,Cluster_1_Completeness_Issues,0.0,1.0,5.969281570829854e-17
Study_11,Site 520,COL,AMERICA,3,Medium,1,Cluster_1_Completeness_Issues,0.0,0.9999998311332909,1.6886670916988196e-07
Study_11,Site 521,COL,AMERICA,4,Low,1,Cluster_1_Completeness_Issues,0.0,0.9999999999940841,5.915899853978003e-12
Study_11,Site 522,COL,AMERICA,1,Low,0,Cluster_0_Low_Risk,1.0,1.0509911671384543e-15,4.642458521703675e-28
Study_11,Site 523,COL,AMERICA,3,Low,1,Cluster_1_Completeness_Issues,2.668662113775519e-38,0.9999999999989773,1.0226861610936534e-12
Study_11,Site 524,ARG,AMERICA,4,Medium,1,Cluster_1_Completeness_Issues,0.0,0.9999999994219246,5.780754970123336e-10
Study_11,Site 525,ARG,AMERICA,1,High,1,Cluster_1_Completeness_Issues,0.0,1.0,3.635782496702898e-38
Study_11,Site 526,ARG,AMERICA,6,Low,1,Cluster_1_Completeness_Issues,0.0,0.99999999999832,1.6799984475459567e-12
Study_11,Site 527,ARG,AMERICA,1,Low,0,Cluster_0_Low_Risk,1.0,1.0509911671384543e-15,4.642458521703675e-28
Study_11,Site 528,MEX,AMERICA,8,Low,1,Cluster_1_Completeness_Issues,0.0,0.9999999999972378,2.7622979818178873e-12
Study_11,Site 529,BRA,AMERICA,1,Low,0,Cluster_0_Low_Risk,1.0,1.0509911671384543e-15,4.642458521703675e-28
Study_11,Site 530,BRA,AMERICA,1,Low,0,Cluster_0_Low_Risk,1.0,1.0509911671384543e-15,4.642458521703675e-28
Study_11,Site 531,CHL,AMERICA,1,Low,0,Cluster_0_Low_Risk,1.0,1.0509911671384543e-15,4.642458521703675e-28
Study_11,Site 532,CHL,AMERICA,3,Medium,1,Cluster_1_Completeness_Issues,0.0,0.9999999999999982,1.3954758898799708e-15
Study_11,Site 533,CHL,AMERICA,7,Low,1,Cluster_1_Completeness_Issues,0.0,1.0,6.440708962373216e-17
Study_11,Site 534,CHL,AMERICA,1,Low,0,Cluster_0_Low_Risk,1.0,1.0509911671384543e-15,4.642458521703675e-28
Study_11,Site 535,USA,AMERICA,1,Low,0,Cluster_0_Low_Risk,1.0,1.0509911671384543e-15,4.642458521703675e-28
Study_11,Site 536,USA,AMERICA,4,Low,0,Cluster_0_Low_Risk,0.9999999999999964,4.015486583897409e-15,8.893253760915574e-27
Study_11,Site 537,USA,AMERICA,1,Low,0,Cluster_0_Low_Risk,1.0,1.0509911671384543e-15,4.642458521703675e-28
Study_11,Site 538,USA,AMERICA,3,Medium,2,Cluster_2_High_Risk_Elevated_DQI,2.485677698002218e-70,0.0,1.0
Study_11,Site 539,USA,AMERICA,1,Low,0,Cluster_0_Low_Risk,1.0,1.0509911671384543e-15,4.642458521703675e-28
Study_11,Site 540,ISL,EMEA,1,Low,0,Cluster_0_Low_Risk,1.0,1.0509911671384543e-15,4.642458521703675e-28
Study_11,Site 541,IRL,EMEA,4,Medium,1,Cluster_1_Completeness_Issues,0.0,0.9999999999999112,8.872799086047668e-14
Study_11,Site 542,SWE,EMEA,2,Medium,1,Cluster_1_Completeness_Issues,0.0,0.9999999999999047,9.52607785131588e-14
Study_11,Site 543,USA,AMERICA,4,Low,0,Cluster_0_Low_Risk,0.9999999999999964,4.015486583897409e-15,8.893253760915574e-27
Study_11,Site 544,USA,AMERICA,5,Low,0,Cluster_0_Low_Risk,0.9999999999999964,4.424035880131437e-15,1.4191955094535635e-26
Study_11,Site 545,USA,AMERICA,3,Medium,1,Cluster_1_Completeness_Issues,0.0,0.9999999999994622,5.376675502886617e-13
Study_11,Site 546,USA,AMERICA,1,Low,0,Cluster_0_Low_Risk,1.0,1.0509911671384543e-15,4.642458521703675e-28
Study_11,Site 547,USA,AMERICA,3,Low,0,Cluster_0_Low_Risk,0.9999999999999964,3.303098520837712e-15,4.754072034079001e-27
Study_11,Site 548,USA,AMERICA,2,Low,0,Cluster_0_Low_Risk,0.9999999999999964,2.2670635656672173e-15,1.9414551030072474e-27
Study_11,Site 549,USA,AMERICA,1,Low,0,Cluster_0_Low_Risk,1.0,1.0509911671384543e-15,4.642458521703675e-28
Study_11,Site 550,USA,AMERICA,4,Low,0,Cluster_0_Low_Risk,0.9999999999999964,4.015486583897409e-15,8.893253760915574e-27
Study_11,Site 551,USA,AMERICA,3,Low,0,Cluster_0_Low_Risk,0.9999999999999964,3.303098520837712e-15,4.754072034079001e-27
Study_11,Site 552,USA,AMERICA,2,Low,0,Cluster_0_Low_Risk,0.9999999999999964,2.2670635656672173e-15,1.9414551030072474e-27
