study,site_id,country,region,subject_count,avg_dqi_score,max_dqi_score,std_dqi_score,total_issue_types,avg_issue_types,high_risk_count,medium_risk_count,subjects_with_issues,sae_pending_count_sum,uncoded_meddra_count_sum,missing_visit_count_sum,missing_pages_count_sum,lab_issues_count_sum,max_days_outstanding_sum,max_days_page_missing_sum,uncoded_whodd_count_sum,edrr_open_issues_sum,inactivated_forms_count_sum,site_risk_category
Study_1,Site 9,CZE,EMEA,1,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
Study_10,34,Unknown,Unknown,1,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
Study_10,Site 11,HUN,EMEA,1,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
Study_10,Site 149,POL,EMEA,2,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
Study_10,Site 153,ITA,EMEA,1,0.15833333333333333,0.15833333333333333,0.0,1,1.0,0,1,1,0,2,0,0,0,0,0,0,0,0,High
Study_10,Site 154,ITA,EMEA,1,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
Study_10,Site 28,USA,AMERICA,4,0.07450194510754929,0.1291812865497076,0.053965538427759634,4,1.0,0,3,3,0,0,0,1,4,0,43,0,0,0,Medium
Study_10,Site 29,USA,AMERICA,1,0.27753329569100654,0.27753329569100654,0.0,3,3.0,1,0,1,0,0,2,0,2,45,0,0,0,0,High
Study_10,Site 32,USA,AMERICA,1,0.06883792048929666,0.06883792048929666,0.0,1,1.0,0,1,1,0,0,0,0,0,0,0,1,0,0,Medium
Study_10,Site 33,USA,AMERICA,2,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
Study_10,Site 357,USA,AMERICA,1,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
Study_10,Site 36,USA,AMERICA,3,0.06878824694024478,0.12195149388048956,0.06245916412881917,3,1.0,0,2,2,0,0,0,0,6,0,0,0,1,0,Medium
Study_10,Site 38,USA,AMERICA,6,0.07767937643935853,0.17260233918128653,0.08716485616977794,6,1.0,0,3,3,0,0,0,20,2,0,32,0,1,0,Medium
Study_10,Site 40,USA,AMERICA,3,0.1696256628537359,0.2702206814314087,0.1477454789670059,6,2.0,1,1,2,0,0,3,1,2,35,0,0,0,0,High
Study_10,Site 42,USA,AMERICA,2,0.07637329013678906,0.15274658027357813,0.10800814271450242,2,1.0,0,1,1,0,0,0,2,2,0,0,0,0,0,Medium
Study_10,Site 451,USA,AMERICA,3,0.08477321814254861,0.08549316054715622,0.0006234884116518523,3,1.0,0,3,3,0,0,0,0,8,0,0,0,0,0,Medium
Study_10,Site 452,USA,AMERICA,1,0.1927465802735781,0.1927465802735781,0.0,2,2.0,0,1,1,0,1,0,0,2,0,0,0,0,0,High
Study_10,Site 453,USA,AMERICA,6,0.07292606547368942,0.12087158027357811,0.04393991893750983,7,1.1666666666666667,0,5,5,0,0,0,0,8,0,0,2,1,2,Medium
Study_10,Site 454,USA,AMERICA,2,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
Study_10,Site 455,USA,AMERICA,6,0.042206623470122405,0.0844132469402448,0.04623503950142602,3,0.5,0,3,3,0,0,0,0,6,0,0,0,0,0,Low
Study_10,Site 456,USA,AMERICA,1,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
Study_10,Site 457,USA,AMERICA,1,0.08549316054715622,0.08549316054715622,0.0,1,1.0,0,1,1,0,0,0,0,4,0,0,0,0,0,Medium
Study_10,Site 458,USA,AMERICA,2,0.07662558371477073,0.0844132469402448,0.011013418952659632,2,1.0,0,2,2,0,0,0,0,2,0,0,1,0,0,Medium
Study_10,Site 459,CHN,ASIA,2,0.07112573099415204,0.14225146198830407,0.1005869734056302,2,1.0,0,1,1,0,0,0,4,0,0,10,0,0,0,Medium
Study_10,Site 460,CHN,ASIA,3,0.03914529914529914,0.11743589743589743,0.06780164699714065,2,0.6666666666666666,0,1,1,0,0,0,0,0,0,0,8,0,2,Low
Study_10,Site 461,JPN,ASIA,2,0.0844132469402448,0.0844132469402448,0.0,2,1.0,0,2,2,0,0,0,0,4,0,0,0,0,0,Medium
Study_10,Site 462,JPN,ASIA,2,0.17907796849936217,0.2054093567251462,0.03723820634501502,5,2.5,0,2,2,0,0,0,5,2,0,7,14,0,0,High
Study_10,Site 463,JPN,ASIA,4,0.18967716154342407,0.3558771929824561,0.13133720917344416,9,2.25,1,3,4,0,4,1,3,6,8,15,33,0,0,High
Study_10,Site 464,POL,EMEA,2,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
Study_10,Site 465,ESP,EMEA,3,0.016752136752136753,0.050256410256410255,0.02901555199004273,1,0.3333333333333333,0,1,1,0,0,0,0,0,0,0,0,0,5,Low
Study_10,Site 50,CAN,AMERICA,2,0.10633220718489311,0.12825116742954143,0.030998090851098344,3,1.5,0,2,2,0,0,0,0,4,0,0,1,0,0,Medium
Study_10,Site 51,CAN,AMERICA,3,0.0281377489800816,0.0844132469402448,0.048736010844120686,1,0.3333333333333333,0,1,1,0,0,0,0,2,0,0,0,0,0,Low
Study_10,Site 79,CHN,ASIA,1,0.18538461538461537,0.18538461538461537,0.0,3,3.0,0,1,1,0,0,0,2,0,0,0,6,0,1,High
Study_10,Site 8,CHN,ASIA,3,0.044444444444444446,0.13333333333333333,0.0769800358919501,1,0.3333333333333333,0,1,1,0,1,0,0,0,0,0,0,0,0,Low
Study_10,Site 87,CZE,EMEA,1,0.10333333333333333,0.10333333333333333,0.0,1,1.0,0,1,1,0,0,0,4,0,0,0,0,0,0,Medium
Study_10,Site 9,JPN,ASIA,3,0.0562754979601632,0.0844132469402448,0.048736010844120686,2,0.6666666666666666,0,2,2,0,0,0,0,4,0,0,0,0,0,Medium
Study_11,148,Unknown,Unknown,1,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
Study_11,Site 12,ESP,EMEA,2,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
Study_11,Site 125,NLD,EMEA,1,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
Study_11,Site 127,NLD,EMEA,1,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
Study_11,Site 128,NLD,EMEA,3,0.1568288662953341,0.3163345521023766,0.15818426355196177,6,2.0,1,1,2,0,0,1,4,0,31,1002,0,0,0,High
Study_11,Site 130,POL,EMEA,2,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
Study_11,Site 131,POL,EMEA,3,0.0588888888888889,0.08833333333333335,0.05099927377841695,2,0.6666666666666666,0,2,2,0,0,0,2,0,0,0,0,0,0,Medium
Study_11,Site 14,CAN,AMERICA,1,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
Study_11,Site 148,CHE,EMEA,10,0.018666666666666665,0.09333333333333332,0.03935278865987316,2,0.2,0,2,2,0,0,0,4,0,0,0,0,0,0,Low
Study_11,Site 149,CHE,EMEA,7,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
Study_11,Site 15,CAN,AMERICA,1,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
Study_11,Site 155,GBR,EMEA,1,0.14774658027357812,0.14774658027357812,0.0,2,2.0,0,1,1,0,0,0,1,2,0,0,0,0,0,High
Study_11,Site 157,GBR,EMEA,1,0.23333333333333334,0.23333333333333334,0.0,1,1.0,1,0,1,15,0,0,0,0,0,0,0,0,0,High
Study_11,Site 158,GBR,EMEA,6,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
Study_11,Site 178,USA,AMERICA,1,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
Study_11,Site 18,USA,AMERICA,5,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
Study_11,Site 181,USA,AMERICA,2,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
Study_11,Site 183,USA,AMERICA,1,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
Study_11,Site 184,USA,AMERICA,2,0.07833333333333334,0.15666666666666668,0.11078006238589246,2,1.0,0,1,1,0,0,0,1,0,0,526,0,0,0,Medium
Study_11,Site 186,USA,AMERICA,2,0.06880116959064328,0.13760233918128656,0.09729954714221908,2,1.0,0,1,1,0,0,0,3,0,0,16,0,0,0,Medium
Study_11,Site 188,USA,AMERICA,1,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
Study_11,Site 189,USA,AMERICA,4,0.04541666666666667,0.09333333333333332,0.05248236035229502,2,0.5,0,2,2,0,0,0,3,0,0,0,0,0,0,Low
Study_11,Site 2,JPN,ASIA,3,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
Study_11,Site 20,USA,AMERICA,6,0.022841880341880342,0.08833333333333335,0.03753853305537067,2,0.3333333333333333,0,2,2,0,0,0,1,0,0,0,0,0,1,Low
Study_11,Site 21,USA,AMERICA,5,0.03233333333333333,0.16166666666666665,0.0722995312724932,2,0.4,0,1,1,0,0,0,2,0,0,530,0,0,0,Low
Study_11,Site 24,USA,AMERICA,1,0.15666666666666668,0.15666666666666668,0.0,2,2.0,0,1,1,0,0,0,1,0,0,517,0,0,0,High
Study_11,Site 28,JPN,ASIA,3,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
Study_11,Site 29,JPN,ASIA,1,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
Study_11,Site 31,JPN,ASIA,1,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
Study_11,Site 326,USA,AMERICA,1,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
Study_11,Site 330,USA,AMERICA,1,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
Study_11,Site 34,JPN,ASIA,2,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
Study_11,Site 35,JPN,ASIA,9,0.06919013451400952,0.21050458715596332,0.08815846986702473,8,0.8888888888888888,0,4,4,0,0,0,8,1,0,1767,1,0,0,Medium
Study_11,Site 350,BRA,AMERICA,1,0.08833333333333335,0.08833333333333335,0.0,1,1.0,0,1,1,0,0,0,1,0,0,0,0,0,0,Medium
Study_11,Site 351,CHL,AMERICA,4,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
Study_11,Site 353,ESP,EMEA,5,0.018666666666666665,0.09333333333333332,0.04173993557999607,1,0.2,0,1,1,0,0,0,2,0,0,0,0,0,0,Low
Study_11,Site 357,JPN,ASIA,3,0.08166666666666668,0.15666666666666668,0.07854581111965453,3,1.0,0,2,2,0,0,0,2,0,0,547,0,0,0,Medium
Study_11,Site 358,HUN,EMEA,10,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
Study_11,Site 359,HUN,EMEA,1,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
Study_11,Site 36,JPN,ASIA,1,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
Study_11,Site 37,JPN,ASIA,1,0.08833333333333335,0.08833333333333335,0.0,1,1.0,0,1,1,0,0,0,1,0,0,0,0,0,0,Medium
Study_11,Site 39,JPN,ASIA,1,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
Study_11,Site 4,JPN,ASIA,6,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
Study_11,Site 41,JPN,ASIA,8,0.022083333333333337,0.08833333333333335,0.040890387739954355,2,0.25,0,2,2,0,0,0,2,0,0,0,0,0,0,Low
Study_11,Site 417,ITA,EMEA,1,0.2966666666666667,0.2966666666666667,0.0,2,2.0,1,0,1,32,0,0,1,0,0,0,0,0,0,High
Study_11,Site 42,JPN,ASIA,2,0.07833333333333334,0.15666666666666668,0.11078006238589246,2,1.0,0,1,1,0,0,0,1,0,0,513,0,0,0,Medium
Study_11,Site 450,USA,AMERICA,6,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
Study_11,Site 452,JPN,ASIA,2,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
Study_11,Site 453,JPN,ASIA,1,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
Study_11,Site 454,JPN,ASIA,4,0.03437134502923977,0.13748538011695907,0.06874269005847954,2,0.5,0,1,1,0,0,0,3,0,0,14,0,0,0,Low
Study_11,Site 455,JPN,ASIA,2,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
Study_11,Site 459,CZE,EMEA,6,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
Study_11,Site 466,AUS,ASIA,9,0.009814814814814816,0.08833333333333335,0.02944444444444445,1,0.1111111111111111,0,1,1,0,0,0,1,0,0,0,0,0,0,Low
Study_11,Site 467,AUS,ASIA,7,0.032287024901703806,0.13767584097859328,0.0569506381701411,3,0.42857142857142855,0,2,2,0,0,0,2,0,0,0,2,0,0,Low
Study_11,Site 468,AUS,ASIA,5,0.04666666666666667,0.23333333333333334,0.10434983894999018,1,0.2,1,0,1,7,0,0,0,0,0,0,0,0,0,Low
Study_11,Site 469,LBN,EMEA,1,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
Study_11,Site 470,ZAF,EMEA,2,0.07833333333333334,0.15666666666666668,0.11078006238589246,2,1.0,0,1,1,0,0,0,1,0,0,625,0,0,0,Medium
Study_11,Site 471,CZE,EMEA,2,0.07833333333333334,0.15666666666666668,0.11078006238589246,2,1.0,0,1,1,0,0,0,1,0,0,714,0,0,0,Medium
Study_11,Site 472,CZE,EMEA,8,0.07466940889701403,0.2440219378427788,0.0811996237319047,7,0.875,0,5,5,0,0,1,6,0,11,0,0,0,0,Medium
Study_11,Site 473,CZE,EMEA,4,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
Study_11,Site 474,CZE,EMEA,8,0.057484890682429624,0.213916170916853,0.08664206435589489,6,0.75,0,3,3,0,0,0,3,4,0,987,0,0,0,Medium
Study_11,Site 475,DNK,EMEA,3,0.02944444444444445,0.08833333333333335,0.05099927377841695,1,0.3333333333333333,0,1,1,0,0,0,1,0,0,0,0,0,0,Low
Study_11,Site 476,DNK,EMEA,2,0.12646425487479776,0.2529285097495955,0.1788474643993468,4,2.0,1,0,1,0,0,1,0,1,16,0,0,0,4,High
Study_11,Site 477,DNK,EMEA,6,0.04111111111111111,0.15833333333333333,0.06742622854866122,3,0.5,0,2,2,0,0,0,3,0,0,456,0,0,0,Low
Study_11,Site 478,DNK,EMEA,3,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
Study_11,Site 479,FRA,EMEA,4,0.061250000000000006,0.15666666666666668,0.07602844253352868,3,0.75,0,2,2,0,0,0,2,0,0,625,0,0,0,Medium
Study_11,Site 480,FRA,EMEA,8,0.05858187134502924,0.15666666666666668,0.08085172914449015,6,0.75,0,3,3,0,0,0,3,0,0,1646,0,0,0,Medium
Study_11,Site 481,FRA,EMEA,1,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
Study_11,Site 482,FRA,EMEA,4,0.11666666666666667,0.23333333333333334,0.1347150628109127,2,0.5,2,0,2,4,0,0,0,0,0,0,0,0,0,High
Study_11,Site 483,FRA,EMEA,7,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
Study_11,Site 484,FRA,EMEA,2,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
Study_11,Site 485,FRA,EMEA,6,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
Study_11,Site 486,FRA,EMEA,2,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
Study_11,Site 487,FRA,EMEA,5,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
Study_11,Site 488,FRA,EMEA,4,0.20963208409506398,0.35352833638025594,0.09593083485679464,10,2.5,1,3,4,0,0,2,10,0,37,2352,0,0,0,High
Study_11,Site 489,FRA,EMEA,5,0.03333333333333333,0.16666666666666666,0.07453559924999298,2,0.4,0,1,1,0,0,0,3,0,0,547,0,0,0,Low
Study_11,Site 490,FRA,EMEA,2,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
Study_11,Site 491,FRA,EMEA,3,0.09846153846153848,0.18333333333333335,0.09241909232352379,3,1.0,1,1,2,1,0,0,1,0,0,0,0,0,1,Medium
Study_11,Site 492,FRA,EMEA,3,0.034444444444444444,0.10333333333333333,0.05965952781626133,1,0.3333333333333333,0,1,1,0,0,0,4,0,0,0,0,0,0,Low
Study_11,Site 493,DEU,EMEA,5,0.13166666666666665,0.32,0.11985523675575373,7,1.4,1,3,4,1,0,0,6,0,0,1192,0,0,0,High
Study_11,Site 494,DEU,EMEA,2,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
Study_11,Site 495,DEU,EMEA,2,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
Study_11,Site 496,DEU,EMEA,3,0.09621572212065814,0.2886471663619744,0.16665051919990861,3,1.0,1,0,1,0,0,2,2,0,51,0,0,0,0,Medium
Study_11,Site 497,DEU,EMEA,3,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
Study_11,Site 498,DEU,EMEA,5,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
Study_11,Site 499,DEU,EMEA,3,0.12595916887804867,0.22372545985052023,0.11449628430556498,6,2.0,0,2,2,0,0,0,4,0,0,946,1,0,1,High
Study_11,Site 5,ZAF,EMEA,5,0.028641025641025643,0.09333333333333332,0.04212115052439823,2,0.4,0,2,2,0,0,0,2,0,0,0,0,0,4,Low
Study_11,Site 50,TUR,EMEA,1,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
Study_11,Site 500,DEU,EMEA,4,0.08203279891454839,0.17146452899152687,0.09491576749186913,5,1.25,0,2,2,0,0,0,2,2,0,673,0,0,1,Medium
Study_11,Site 501,DEU,EMEA,5,0.1427692998492575,0.2440219378427788,0.0883313854231744,9,1.8,0,4,4,0,0,1,5,0,11,1555,0,0,0,High
Study_11,Site 502,ITA,EMEA,2,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
Study_11,Site 503,ITA,EMEA,8,0.05020833333333334,0.15666666666666668,0.07243189192789298,5,0.625,0,3,3,0,0,0,3,0,0,1486,0,0,0,Medium
Study_11,Site 504,ITA,EMEA,2,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
Study_11,Site 505,ITA,EMEA,6,0.0678411306042885,0.16456140350877194,0.07878016605736114,5,0.8333333333333334,0,3,3,0,0,0,5,0,0,947,0,0,0,Medium
Study_11,Site 506,ITA,EMEA,5,0.036333333333333336,0.09333333333333332,0.04978286184354344,2,0.4,0,2,2,0,0,0,3,0,0,0,0,0,0,Low
Study_11,Site 507,ITA,EMEA,2,0.17745277269957344,0.26157221206581355,0.11896285201095799,4,2.0,1,1,2,0,0,1,4,0,59,0,0,0,0,High
Study_11,Site 508,ITA,EMEA,1,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
Study_11,Site 509,POL,EMEA,1,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
Study_11,Site 510,POL,EMEA,2,0.044166666666666674,0.08833333333333335,0.062461099004811706,1,0.5,0,1,1,0,0,0,1,0,0,0,0,0,0,Low
Study_11,Site 511,POL,EMEA,2,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
Study_11,Site 512,ESP,EMEA,4,0.022083333333333337,0.08833333333333335,0.044166666666666674,1,0.25,0,1,1,0,0,0,1,0,0,0,0,0,0,Low
Study_11,Site 513,ESP,EMEA,3,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
Study_11,Site 514,ESP,EMEA,3,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
Study_11,Site 515,ESP,EMEA,4,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
Study_11,Site 516,ESP,EMEA,4,0.05328125,0.12479166666666666,0.06329868729805861,3,0.75,0,2,2,0,0,0,2,0,0,0,0,1,0,Medium
Study_11,Site 517,CHE,EMEA,1,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
Study_11,Site 518,ISR,EMEA,4,0.022083333333333337,0.08833333333333335,0.044166666666666674,1,0.25,0,1,1,0,0,0,1,0,0,0,0,0,0,Low
Study_11,Site 519,ISR,EMEA,5,0.062339181286549715,0.15666666666666668,0.08536340259371578,4,0.8,0,2,2,0,0,0,2,0,0,1019,0,0,0,Medium
Study_11,Site 520,COL,AMERICA,3,0.08292504570383913,0.24877513711151739,0.14363039237902062,3,1.0,1,0,1,0,0,1,2,0,24,0,0,0,0,Medium
Study_11,Site 521,COL,AMERICA,4,0.0211033117350612,0.0844132469402448,0.0422066234701224,1,0.25,0,1,1,0,0,0,0,2,0,0,0,0,0,Low
Study_11,Site 522,COL,AMERICA,1,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
Study_11,Site 523,COL,AMERICA,3,0.02944444444444445,0.08833333333333335,0.05099927377841695,1,0.3333333333333333,0,1,1,0,0,0,1,0,0,0,0,0,0,Low
Study_11,Site 524,ARG,AMERICA,4,0.06283363802559415,0.2513345521023766,0.1256672760511883,3,0.75,1,0,1,0,0,1,2,0,31,0,0,0,0,Medium
