study,site_id,country,region,priority,subject_count,high_risk_count,avg_dqi_score,top_issue,top_recommendation,ai_insight
Study_21,Site 1179,USA,AMERICA,CRITICAL,1,1,0.183,sae_pending_count,Schedule urgent site quality call within 48 hours,
Study_21,Site 1618,TUR,EMEA,CRITICAL,3,3,0.183,sae_pending_count,Schedule urgent site quality call within 48 hours,
Study_24,Site 2030,USA,AMERICA,CRITICAL,9,4,0.183,sae_pending_count,Schedule urgent site quality call within 48 hours,
Study_1,Site 21,USA,AMERICA,CRITICAL,3,1,0.183,sae_pending_count,Schedule urgent site quality call within 48 hours,
Study_24,Site 875,DEU,EMEA,CRITICAL,23,6,0.18,sae_pending_count,Schedule urgent site quality call within 48 hours,
Study_8,Site 381,DEU,EMEA,CRITICAL,5,2,0.18,sae_pending_count,Schedule urgent site quality call within 48 hours,
Study_24,Site 50,KOR,ASIA,CRITICAL,19,4,0.178,sae_pending_count,Schedule urgent site quality call within 48 hours,
Study_16,Site 661,ITA,EMEA,CRITICAL,8,3,0.177,sae_pending_count,Schedule urgent site quality call within 48 hours,
Study_2,Site 41,CHN,ASIA,CRITICAL,2,1,0.177,sae_pending_count,Schedule urgent site quality call within 48 hours,
Study_16,Site 757,TUR,EMEA,CRITICAL,11,3,0.175,sae_pending_count,Schedule urgent site quality call within 48 hours,
Study_22,Site 1712,CZE,EMEA,CRITICAL,4,1,0.163,sae_pending_count,Schedule urgent site quality call within 48 hours,
Study_16,Site 682,ARG,AMERICA,CRITICAL,8,3,0.161,sae_pending_count,Schedule urgent site quality call within 48 hours,
Study_16,Site 753,CHN,ASIA,CRITICAL,4,1,0.16,sae_pending_count,Schedule urgent site quality call within 48 hours,
Study_1,Site 15,ESP,EMEA,CRITICAL,16,5,0.154,sae_pending_count,Schedule urgent site quality call within 48 hours,
Study_16,Site 602,USA,AMERICA,CRITICAL,22,5,0.152,sae_pending_count,Schedule urgent site quality call within 48 hours,
Study_21,Site 341,USA,AMERICA,CRITICAL,4,3,0.15,sae_pending_count,Schedule urgent site quality call within 48 hours,
Study_21,Site 1138,USA,AMERICA,CRITICAL,4,2,0.146,sae_pending_count,Schedule urgent site quality call within 48 hours,
Study_21,Site 1529,POL,EMEA,CRITICAL,3,2,0.139,sae_pending_count,Schedule urgent site quality call within 48 hours,
Study_21,Site 1570,ZAF,EMEA,CRITICAL,4,3,0.138,sae_pending_count,Schedule urgent site quality call within 48 hours,
Study_21,Site 1096,USA,AMERICA,CRITICAL,4,3,0.138,sae_pending_count,Schedule urgent site quality call within 48 hours,
Study_21,Site 1180,USA,AMERICA,CRITICAL,24,16,0.136,sae_pending_count,Schedule urgent site quality call within 48 hours,
Study_8,Site 372,FRA,EMEA,CRITICAL,7,1,0.134,sae_pending_count,Schedule urgent site quality call within 48 hours,
Study_11,Site 493,DEU,EMEA,CRITICAL,5,1,0.132,sae_pending_count,Schedule urgent site quality call within 48 hours,
Study_21,Site 1059,USA,AMERICA,CRITICAL,3,1,0.127,sae_pending_count,Schedule urgent site quality call within 48 hours,
Study_8,Site 317,ZAF,EMEA,CRITICAL,11,1,0.123,sae_pending_count,Schedule urgent site quality call within 48 hours,
Study_21,Site 834,ITA,EMEA,CRITICAL,3,2,0.122,sae_pending_count,Schedule urgent site quality call within 48 hours,
Study_21,Site 1000,NOR,EMEA,CRITICAL,3,2,0.122,sae_pending_count,Schedule urgent site quality call within 48 hours,
Study_21,Site 1336,AUS,ASIA,CRITICAL,5,3,0.12,sae_pending_count,Schedule urgent site quality call within 48 hours,
Study_24,Site 113,CHN,ASIA,CRITICAL,23,2,0.117,sae_pending_count,Schedule urgent site quality call within 48 hours,
Study_11,Site 482,FRA,EMEA,CRITICAL,4,2,0.117,sae_pending_count,Schedule urgent site quality call within 48 hours,
Study_22,Site 1044,USA,AMERICA,CRITICAL,2,1,0.117,sae_pending_count,Schedule urgent site quality call within 48 hours,
Study_21,Site 1250,USA,AMERICA,CRITICAL,2,1,0.117,sae_pending_count,Schedule urgent site quality call within 48 hours,
Study_24,Site 558,TUR,EMEA,HIGH,1,1,0.459,uncoded_meddra_count,Schedule urgent site quality call within 48 hours,"Given the high DQI score of 0.459 for Site 558 in TUR during Study_24, it's crucial to address the identified issues promptly to maintain data quality. The top concerns include numerous lab issues (70 instances), uncoded MEDDRA and WHODD counts, missing visits, and pages.

Immediate next steps should involve a thorough review of lab results for accuracy and completeness, with a focus on coding lab findings according to the MEDDRA and WHODD standards. Additionally, ensure that all missing visit d"
Study_1,Site 12,KOR,ASIA,HIGH,1,1,0.45,missing_visit_count,Schedule urgent site quality call within 48 hours,"Given the high DQI score of 0.450 for Study_1 at Site 12 in KOR, immediate attention is required to address critical issues. The top concerns include missing visit counts, pages, lab results, uncoded whodd instances, and open edrr issues.

To mitigate these risks, it's recommended that the site investigator reviews and verifies all missing data points promptly. Additionally, implementing standardized procedures for data collection and ensuring proper training for staff could help prevent similar"
Study_16,Site 628,CAN,AMERICA,HIGH,1,1,0.411,missing_visit_count,Schedule urgent site quality call within 48 hours,"Given the high risk level and the DQI score of 0.411 for Site 628 in CAN for Study_16, it is recommended to immediately address the identified issues, particularly focusing on lab errors (18 instances) and EDCC open issues (10 instances). To mitigate these critical issues, the site should prioritize improving data collection processes for laboratory results and ensure all EDCC queries are promptly resolved. Additionally, regular follow-ups with the site personnel are suggested to identify any un"
Study_16,Site 618,USA,AMERICA,HIGH,1,1,0.39,missing_visit_count,Schedule urgent site quality call within 48 hours,"Given the high risk level and DQI score of 0.390 for Site 618 in Study_16, it is recommended to prioritize immediate data quality improvement efforts. The top issues include missing visit counts, pages, open EDRR issues, and inactivated forms.

To address these concerns, initiate an urgent review of the site's data entry processes and procedures. Verify all missing visits, pages, and EDRR issues, ensure proper documentation, and rectify any discrepancies found. Additionally, monitor and reactiva"
Study_24,Site 524,ISR,EMEA,HIGH,1,1,0.388,missing_visit_count,Schedule urgent site quality call within 48 hours,"Given the high risk level and DQI score for Site 524 in ISR for Study_24, it is crucial to address the identified data quality issues promptly. The top concerns include missing visit counts, pages, lab results, and uncoded WHO-DD entries.

Immediate action steps should focus on ensuring complete and accurate data collection by reinforcing training for site staff regarding proper documentation procedures. Additionally, close collaboration with the laboratory should be initiated to resolve ongoing"
Study_16,Site 635,GRC,EMEA,HIGH,1,1,0.383,missing_visit_count,Schedule urgent site quality call within 48 hours,"Given the high risk level, urgent attention is required for Site 635 in GRC for Study_16. The primary concerns are missing visit counts, pages, open EDRR issues, and inactivated forms. To mitigate these issues, it's recommended to:

1. Verify and complete all missing visits and pages as soon as possible.
2. Address the four open EDRR issues, ensuring they are resolved promptly to maintain data integrity.
3. Investigate the reason behind the inactivated forms (7 instances) and take corrective mea"
Study_24,Site 1042,USA,AMERICA,HIGH,1,1,0.383,uncoded_meddra_count,Schedule urgent site quality call within 48 hours,"Given the high risk level and DQI score of 0.383 for Site 1042 in Study_24, it is imperative to address the identified data quality issues promptly. The primary concerns include uncoded MedDRA counts (4 instances), missing pages (12 instances), and lab issues (1 instance).

To mitigate these risks, we recommend:
1. Prioritizing the coding of all 4 uncoded MedDRA instances to ensure accurate data recording.
2. Implementing a strict protocol for documenting and submitting all study-related pages t"
Study_16,Site 662,ITA,EMEA,HIGH,1,1,0.382,missing_visit_count,Schedule urgent site quality call within 48 hours,"Given the high risk level and the DQI score of 0.382 for Site 662 in ITA for Study_16, it is recommended to prioritize addressing the identified data quality issues promptly. The top issues include missing visit counts (3 instances), missing pages counts (8 instances), open eSource Data Review and Resolution (EDRR) issues (7 instances), and inactivated forms (11 instances).

Immediate next steps should focus on ensuring complete and accurate visit and page counts, resolving all EDRR issues, and "
Study_16,Site 605,USA,AMERICA,HIGH,3,2,0.372,missing_visit_count,Schedule urgent site quality call within 48 hours,"Given the high risk level and DQI score for Site 605 in Study_16, immediate attention is required to address the identified data quality issues. The top concerns include missing visit counts, pages, open eDRR issues, and a large number of inactivated forms.

To mitigate these problems, it's recommended to:
1. Ensure complete and accurate visit counting by reinforcing protocol adherence with the site staff.
2. Address the high number of missing pages by investigating the cause and implementing co"
Study_7,Site 12,SGP,ASIA,HIGH,3,3,0.346,uncoded_meddra_count,Schedule urgent site quality call within 48 hours,"Given the high risk level and the DQI score of 0.346 for Site 12 in SGP during Study_7, it is crucial to address the identified issues promptly. The top issues include an uncoded count of 7 MedDRA instances, 25 missing pages, and 17 uncoded WHODD counts.

To mitigate these risks, I recommend:
1. Conducting an immediate review of all 3 high-risk subjects' case report forms (CRFs) for the missing pages and uncoded MedDRA and WHODD instances.
2. Provide additional training to site staff on proper c"
Study_16,Site 646,FRA,EMEA,HIGH,1,1,0.344,missing_visit_count,Schedule urgent site quality call within 48 hours,"Given the high risk level and DQI score of 0.344 for Site 646 in FRA during Study_16, it is recommended to prioritize addressing the identified data quality issues promptly. The main focus should be on reducing the number of missing visit counts (5 instances), missing pages (1 instance), open eDRR issues (3 instances), and inactivated forms (17 instances).

Immediate next steps for Site 646 include:
1. Ensuring all visits are accurately recorded to minimize missing visit count instances.
2. Comp"
Study_16,Site 638,BEL,EMEA,HIGH,1,1,0.342,missing_visit_count,Schedule urgent site quality call within 48 hours,"Given the high DQI score of 0.342 for Site 638 in BEL for Study_16, it is recommended to prioritize addressing the identified data quality issues to mitigate potential risks. The top concerns include missing visit counts (4 instances), missing pages count (1 instance), open eDRR issues (5 instances), and inactivated forms (4 instances).

Immediate next steps should involve:
1. Investigating missing visit counts, ensuring all visits are accounted for to maintain data integrity.
2. Addressing the "
Study_5,Site 314,NLD,EMEA,HIGH,1,1,0.34,missing_visit_count,Schedule urgent site quality call within 48 hours,"Given the high risk level and DQI score of 0.340 for Site 314 in NLD during Study_5, it is recommended to immediately address the identified data quality issues. The primary focus should be on improving visit compliance (missing visit count: 1 instances) and ensuring complete pages (missing pages count: 11 instances). Additionally, an investigation into the reasons behind the high number of inactivated forms (6 instances) is necessary to prevent recurrence. Immediate follow-up with the site staf"
Study_24,Site 338,USA,AMERICA,HIGH,1,1,0.339,uncoded_meddra_count,Schedule urgent site quality call within 48 hours,"Given the high risk level and DQI score of 0.339 for Site 338 in Study_24, it is crucial to address the identified data quality issues promptly. The top concerns include uncoded MedDRA counts, missing pages, lab issues, and uncoded WHODD counts.

Immediate action steps should involve:
1. Investigating and resolving the 2 instances of uncoded MedDRA counts by reviewing source documents or seeking clarification from site staff.
2. Verifying and locating the missing pages (4 instances) in the study"
Study_16,Site 659,ITA,EMEA,HIGH,2,2,0.339,missing_visit_count,Schedule urgent site quality call within 48 hours,"Given the high DQI score of 0.339 for Site 659 in ITA participating in Study_16, it is crucial to address the identified issues promptly to ensure data quality. The primary concerns include missing visit counts, pages, uncoded whodd counts, open edrr issues, and numerous inactivated forms.

Immediate next steps should involve re-evaluating data collection processes to minimize missing data instances. Ensuring all visits, pages, and WHODD entries are properly documented will improve data integrit"
Study_16,Site 672,DEU,EMEA,HIGH,1,1,0.336,missing_visit_count,Schedule urgent site quality call within 48 hours,
Study_16,Site 649,ESP,EMEA,HIGH,1,1,0.336,missing_visit_count,Schedule urgent site quality call within 48 hours,
Study_16,Site 741,CHN,ASIA,HIGH,2,2,0.321,missing_visit_count,Schedule urgent site quality call within 48 hours,
Study_8,Site 432,GBR,EMEA,HIGH,1,1,0.319,missing_visit_count,Schedule urgent site quality call within 48 hours,
Study_16,Site 679,ARG,AMERICA,HIGH,4,4,0.319,missing_visit_count,Schedule urgent site quality call within 48 hours,
Study_24,Site 327,USA,AMERICA,HIGH,2,2,0.318,uncoded_meddra_count,Schedule urgent site quality call within 48 hours,
Study_6,Site 15,AUS,ASIA,HIGH,4,3,0.318,missing_visit_count,Schedule urgent site quality call within 48 hours,
Study_17,Site 466,FRA,EMEA,HIGH,4,2,0.315,missing_visit_count,Schedule urgent site quality call within 48 hours,
Study_19,Site 779,ISR,EMEA,HIGH,1,1,0.309,missing_visit_count,Schedule urgent site quality call within 48 hours,
Study_16,Site 641,BEL,EMEA,HIGH,1,1,0.306,missing_visit_count,Schedule urgent site quality call within 48 hours,
Study_19,Site 417,KOR,ASIA,HIGH,3,2,0.302,uncoded_meddra_count,Schedule urgent site quality call within 48 hours,
Study_13,Site 110,AUS,ASIA,HIGH,1,1,0.302,missing_pages_count,Schedule urgent site quality call within 48 hours,
Study_17,Site 325,USA,AMERICA,HIGH,2,2,0.302,uncoded_meddra_count,Schedule urgent site quality call within 48 hours,
Study_1,Site 6,AUT,EMEA,HIGH,2,1,0.301,missing_visit_count,Schedule urgent site quality call within 48 hours,
Study_19,Site 467,AUS,ASIA,HIGH,1,1,0.3,missing_visit_count,Schedule urgent site quality call within 48 hours,
Study_16,Site 671,DEU,EMEA,HIGH,3,2,0.298,missing_visit_count,Schedule urgent site quality call within 48 hours,
Study_19,Site 155,TWN,ASIA,HIGH,2,2,0.298,missing_visit_count,Schedule urgent site quality call within 48 hours,
Study_17,Site 15,CAN,AMERICA,HIGH,2,1,0.297,missing_visit_count,Schedule urgent site quality call within 48 hours,
Study_5,Site 313,CHE,EMEA,HIGH,1,1,0.297,missing_pages_count,Schedule urgent site quality call within 48 hours,
Study_24,Site 259,AUS,ASIA,HIGH,3,3,0.297,uncoded_meddra_count,Schedule urgent site quality call within 48 hours,
Study_6,Site 351,TWN,ASIA,HIGH,3,2,0.296,missing_visit_count,Schedule urgent site quality call within 48 hours,
Study_24,Site 884,DEU,EMEA,HIGH,4,3,0.295,uncoded_meddra_count,Schedule urgent site quality call within 48 hours,
Study_6,Site 165,CHN,ASIA,HIGH,4,2,0.293,missing_visit_count,Schedule urgent site quality call within 48 hours,
Study_16,Site 678,ARG,AMERICA,HIGH,4,3,0.292,missing_visit_count,Schedule urgent site quality call within 48 hours,
Study_24,Site 887,DEU,EMEA,HIGH,2,2,0.288,uncoded_meddra_count,Schedule urgent site quality call within 48 hours,
Study_20,Site 47,AUS,ASIA,HIGH,1,1,0.287,uncoded_meddra_count,Schedule urgent site quality call within 48 hours,
Study_24,Site 1791,ISR,EMEA,HIGH,3,2,0.283,uncoded_meddra_count,Schedule urgent site quality call within 48 hours,
Study_19,Site 113,PRK,Unknown,HIGH,4,1,0.278,uncoded_meddra_count,Schedule urgent site quality call within 48 hours,
Study_10,Site 29,USA,AMERICA,HIGH,1,1,0.278,missing_visit_count,Schedule urgent site quality call within 48 hours,
Study_24,Site 883,DEU,EMEA,HIGH,3,1,0.277,missing_visit_count,Schedule urgent site quality call within 48 hours,
Study_16,Site 709,JPN,ASIA,HIGH,2,2,0.276,missing_visit_count,Schedule urgent site quality call within 48 hours,
Study_16,Site 640,BEL,EMEA,HIGH,5,3,0.275,missing_visit_count,Schedule urgent site quality call within 48 hours,
Study_5,Site 14,AUT,EMEA,HIGH,1,1,0.273,missing_pages_count,Schedule urgent site quality call within 48 hours,
Study_19,Site 493,ISR,EMEA,HIGH,3,2,0.272,missing_visit_count,Schedule urgent site quality call within 48 hours,
Study_19,Site 109,AUS,ASIA,HIGH,5,3,0.27,uncoded_meddra_count,Schedule urgent site quality call within 48 hours,
Study_24,Site 2163,IND,ASIA,HIGH,2,1,0.268,uncoded_meddra_count,Schedule urgent site quality call within 48 hours,
Study_20,Site 87,ITA,EMEA,HIGH,1,1,0.265,missing_pages_count,Schedule urgent site quality call within 48 hours,
Study_16,Site 694,MYS,ASIA,HIGH,4,3,0.265,missing_visit_count,Schedule urgent site quality call within 48 hours,
Study_5,Site 2,AUS,ASIA,HIGH,5,3,0.262,missing_visit_count,Schedule urgent site quality call within 48 hours,
Study_5,Site 288,ISR,EMEA,HIGH,1,1,0.262,missing_pages_count,Schedule urgent site quality call within 48 hours,
Study_16,Site 696,AUS,ASIA,HIGH,4,3,0.258,missing_visit_count,Schedule urgent site quality call within 48 hours,
Study_5,Site 310,GBR,EMEA,HIGH,1,1,0.258,missing_pages_count,Schedule urgent site quality call within 48 hours,
Study_24,Site 5,TUR,EMEA,HIGH,3,1,0.257,missing_visit_count,Schedule urgent site quality call within 48 hours,
Study_8,Site 425,ROU,EMEA,HIGH,1,1,0.257,missing_visit_count,Schedule urgent site quality call within 48 hours,
Study_16,Site 658,ITA,EMEA,HIGH,4,3,0.257,missing_visit_count,Schedule urgent site quality call within 48 hours,
Study_1,Site 7,ISR,EMEA,HIGH,1,1,0.256,missing_pages_count,Schedule urgent site quality call within 48 hours,
Study_16,Site 625,CAN,AMERICA,HIGH,3,2,0.255,missing_visit_count,Schedule urgent site quality call within 48 hours,
Study_19,Site 782,USA,AMERICA,HIGH,4,1,0.255,uncoded_meddra_count,Schedule urgent site quality call within 48 hours,
Study_24,Site 2178,TUR,EMEA,HIGH,3,2,0.254,missing_pages_count,Schedule urgent site quality call within 48 hours,
Study_5,Site 274,FRA,EMEA,HIGH,1,1,0.252,missing_pages_count,Schedule urgent site quality call within 48 hours,
Study_6,Site 194,JPN,ASIA,HIGH,2,1,0.252,uncoded_meddra_count,Schedule urgent site quality call within 48 hours,
Study_6,Site 168,CHN,ASIA,HIGH,1,1,0.252,missing_pages_count,Schedule urgent site quality call within 48 hours,
Study_14,Site 502,CAN,AMERICA,HIGH,2,1,0.25,uncoded_meddra_count,Schedule urgent site quality call within 48 hours,
Study_24,Site 2170,TUR,EMEA,HIGH,4,1,0.25,uncoded_meddra_count,Schedule urgent site quality call within 48 hours,
Study_24,Site 28,AUS,ASIA,HIGH,4,2,0.25,uncoded_meddra_count,Schedule urgent site quality call within 48 hours,
Study_6,Site 345,JPN,ASIA,HIGH,1,1,0.249,missing_pages_count,Schedule urgent site quality call within 48 hours,
Study_16,Site 654,HRV,EMEA,HIGH,4,3,0.249,missing_visit_count,Schedule urgent site quality call within 48 hours,
Study_24,Site 2188,ISR,EMEA,HIGH,3,1,0.248,missing_visit_count,Schedule urgent site quality call within 48 hours,
Study_16,Site 642,FRA,EMEA,HIGH,2,1,0.247,missing_visit_count,Schedule urgent site quality call within 48 hours,
Study_16,Site 599,USA,AMERICA,HIGH,2,1,0.247,missing_visit_count,Schedule urgent site quality call within 48 hours,
Study_5,Site 298,SVK,EMEA,HIGH,1,1,0.246,missing_pages_count,Schedule urgent site quality call within 48 hours,
Study_16,Site 623,CAN,AMERICA,HIGH,2,1,0.246,missing_visit_count,Schedule urgent site quality call within 48 hours,
Study_24,Site 6,TUR,EMEA,HIGH,3,2,0.246,missing_pages_count,Schedule urgent site quality call within 48 hours,
Study_22,Site 1792,ROU,EMEA,HIGH,1,0,0.245,missing_visit_count,Schedule urgent site quality call within 48 hours,
Study_17,Site 775,ESP,EMEA,HIGH,1,0,0.244,missing_pages_count,Schedule urgent site quality call within 48 hours,
Study_24,Site 2186,CHN,ASIA,HIGH,5,3,0.244,missing_visit_count,Schedule urgent site quality call within 48 hours,
Study_24,Site 522,DEU,EMEA,HIGH,3,1,0.242,missing_visit_count,Schedule urgent site quality call within 48 hours,
Study_16,Site 633,GRC,EMEA,HIGH,2,1,0.241,missing_visit_count,Schedule urgent site quality call within 48 hours,
Study_24,Site 2177,TUR,EMEA,HIGH,4,2,0.24,uncoded_meddra_count,Schedule urgent site quality call within 48 hours,
Study_24,Site 326,USA,AMERICA,HIGH,4,3,0.24,missing_visit_count,Schedule urgent site quality call within 48 hours,
Study_6,Site 352,JPN,ASIA,HIGH,1,0,0.237,missing_pages_count,Schedule urgent site quality call within 48 hours,
Study_24,Site 2171,TUR,EMEA,HIGH,3,2,0.236,missing_pages_count,Schedule urgent site quality call within 48 hours,
Study_16,Site 706,JPN,ASIA,HIGH,3,1,0.236,missing_visit_count,Schedule urgent site quality call within 48 hours,
Study_24,Site 110,HKG,ASIA,HIGH,1,0,0.236,missing_pages_count,Schedule urgent site quality call within 48 hours,
Study_16,Site 745,CHN,ASIA,HIGH,7,5,0.235,missing_visit_count,Schedule urgent site quality call within 48 hours,
Study_16,Site 669,DEU,EMEA,HIGH,5,3,0.233,missing_visit_count,Schedule urgent site quality call within 48 hours,
Study_17,Site 7,ESP,EMEA,HIGH,2,1,0.233,missing_pages_count,Schedule urgent site quality call within 48 hours,
Study_24,Site 953,CAN,AMERICA,HIGH,11,6,0.233,uncoded_meddra_count,Schedule urgent site quality call within 48 hours,
Study_16,Site 615,USA,AMERICA,HIGH,4,3,0.232,missing_visit_count,Schedule urgent site quality call within 48 hours,
Study_17,Site 14,CAN,AMERICA,HIGH,2,1,0.23,missing_pages_count,Schedule urgent site quality call within 48 hours,
Study_24,Site 530,PRT,EMEA,HIGH,5,1,0.228,missing_visit_count,Schedule urgent site quality call within 48 hours,
Study_16,Site 603,USA,AMERICA,HIGH,4,2,0.228,uncoded_meddra_count,Schedule urgent site quality call within 48 hours,
Study_16,Site 771,ISR,EMEA,HIGH,5,3,0.227,missing_visit_count,Schedule urgent site quality call within 48 hours,
Study_6,Site 14,AUS,ASIA,HIGH,12,4,0.226,uncoded_meddra_count,Schedule urgent site quality call within 48 hours,
Study_16,Site 684,BRA,AMERICA,HIGH,8,5,0.226,missing_visit_count,Schedule urgent site quality call within 48 hours,
Study_16,Site 652,ESP,EMEA,HIGH,1,0,0.225,missing_pages_count,Schedule urgent site quality call within 48 hours,
Study_24,Site 2176,TUR,EMEA,HIGH,4,1,0.223,missing_visit_count,Schedule urgent site quality call within 48 hours,
Study_16,Site 664,CZE,EMEA,HIGH,4,2,0.223,missing_visit_count,Schedule urgent site quality call within 48 hours,
Study_17,Site 19,USA,AMERICA,HIGH,7,1,0.222,missing_visit_count,Schedule urgent site quality call within 48 hours,
Study_16,Site 725,KOR,ASIA,HIGH,11,7,0.221,missing_visit_count,Schedule urgent site quality call within 48 hours,
Study_16,Site 634,GRC,EMEA,HIGH,1,0,0.22,missing_pages_count,Schedule urgent site quality call within 48 hours,
Study_5,Site 309,GBR,EMEA,HIGH,1,0,0.22,missing_pages_count,Schedule urgent site quality call within 48 hours,
Study_20,Site 124,NLD,EMEA,HIGH,1,0,0.219,missing_pages_count,Schedule urgent site quality call within 48 hours,
Study_24,Site 2015,USA,AMERICA,HIGH,7,2,0.217,uncoded_meddra_count,Schedule urgent site quality call within 48 hours,
Study_24,Site 2165,KOR,ASIA,HIGH,8,3,0.216,missing_visit_count,Schedule urgent site quality call within 48 hours,
Study_16,Site 620,USA,AMERICA,HIGH,2,1,0.215,missing_visit_count,Schedule urgent site quality call within 48 hours,
Study_17,Site 177,USA,AMERICA,HIGH,4,1,0.215,uncoded_meddra_count,Schedule urgent site quality call within 48 hours,
Study_24,Site 2181,TUR,EMEA,HIGH,3,1,0.215,uncoded_meddra_count,Schedule urgent site quality call within 48 hours,
Study_16,Site 675,MEX,AMERICA,HIGH,5,3,0.215,missing_visit_count,Schedule urgent site quality call within 48 hours,
Study_5,Site 311,CHE,EMEA,HIGH,1,0,0.212,missing_pages_count,Schedule urgent site quality call within 48 hours,
Study_16,Site 639,BEL,EMEA,HIGH,4,2,0.211,missing_visit_count,Schedule urgent site quality call within 48 hours,
Study_16,Site 629,CAN,AMERICA,HIGH,2,1,0.21,missing_visit_count,Schedule urgent site quality call within 48 hours,
Study_11,Site 488,FRA,EMEA,HIGH,4,1,0.21,missing_visit_count,Schedule urgent site quality call within 48 hours,
Study_16,Site 627,CAN,AMERICA,HIGH,4,2,0.209,missing_visit_count,Schedule urgent site quality call within 48 hours,
Study_16,Site 702,AUS,ASIA,HIGH,8,4,0.209,missing_visit_count,Schedule urgent site quality call within 48 hours,
Study_24,Site 2184,CHN,ASIA,HIGH,10,6,0.209,uncoded_meddra_count,Schedule urgent site quality call within 48 hours,
Study_24,Site 597,IND,ASIA,HIGH,3,0,0.208,missing_pages_count,Schedule urgent site quality call within 48 hours,
