study,site_id,country,region,subject_count,missing_visit_count,lab_issues_count,sae_total_count,sae_pending_count,missing_pages_count,uncoded_meddra_count,uncoded_whodd_count,inactivated_forms_count,edrr_open_issues
Study_1,Site 6,AUT,EMEA,2,1,80,11,0,56,0,0,4,0
Study_1,Site 7,ISR,EMEA,1,0,0,44,0,4,0,1,39,1
Study_1,Site 8,ISR,EMEA,1,0,0,0,0,0,0,0,5,0
Study_1,Site 9,CZE,EMEA,1,0,0,0,0,0,0,0,0,0
Study_10,34,Unknown,Unknown,1,0,0,0,0,0,0,0,0,0
Study_10,Site 11,HUN,EMEA,1,0,0,0,0,0,0,0,0,0
Study_10,Site 149,POL,EMEA,2,0,0,0,0,0,0,0,0,0
Study_10,Site 153,ITA,EMEA,1,0,0,0,0,0,2,0,0,0
Study_10,Site 154,ITA,EMEA,1,0,0,0,0,0,0,0,0,0
Study_10,Site 28,USA,AMERICA,4,0,4,0,0,1,0,0,0,0
Study_10,Site 29,USA,AMERICA,1,2,2,0,0,0,0,0,0,0
Study_10,Site 32,USA,AMERICA,1,0,0,0,0,0,0,1,0,0
Study_10,Site 33,USA,AMERICA,2,0,0,0,0,0,0,0,0,0
Study_10,Site 357,USA,AMERICA,1,0,0,0,0,0,0,0,0,0
Study_10,Site 36,USA,AMERICA,3,0,6,0,0,0,0,0,0,1
Study_10,Site 38,USA,AMERICA,6,0,2,0,0,20,0,0,0,1
Study_10,Site 40,USA,AMERICA,3,3,2,0,0,1,0,0,0,0
Study_10,Site 42,USA,AMERICA,2,0,2,0,0,2,0,0,0,0
Study_10,Site 451,USA,AMERICA,3,0,8,0,0,0,0,0,0,0
Study_10,Site 452,USA,AMERICA,1,0,2,0,0,0,1,0,0,0
Study_10,Site 453,USA,AMERICA,6,0,8,0,0,0,0,2,2,1
Study_10,Site 454,USA,AMERICA,2,0,0,0,0,0,0,0,0,0
Study_10,Site 455,USA,AMERICA,6,0,6,0,0,0,0,0,0,0
Study_10,Site 456,USA,AMERICA,1,0,0,0,0,0,0,0,0,0
Study_10,Site 457,USA,AMERICA,1,0,4,0,0,0,0,0,0,0
Study_10,Site 458,USA,AMERICA,2,0,2,0,0,0,0,1,0,0
Study_10,Site 459,CHN,ASIA,2,0,0,0,0,4,0,0,0,0
Study_10,Site 460,CHN,ASIA,3,0,0,0,0,0,0,8,2,0
Study_10,Site 461,JPN,ASIA,2,0,4,0,0,0,0,0,0,0
Study_10,Site 462,JPN,ASIA,2,0,2,0,0,5,0,14,0,0
Study_10,Site 463,JPN,ASIA,4,1,6,0,0,3,4,33,0,0
Study_10,Site 464,POL,EMEA,2,0,0,0,0,0,0,0,0,0
Study_10,Site 465,ESP,EMEA,3,0,0,0,0,0,0,0,5,0
Study_10,Site 50,CAN,AMERICA,2,0,4,0,0,0,0,1,0,0
Study_10,Site 51,CAN,AMERICA,3,0,2,0,0,0,0,0,0,0
Study_10,Site 79,CHN,ASIA,1,0,0,0,0,2,0,6,1,0
Study_10,Site 8,CHN,ASIA,3,0,0,0,0,0,1,0,0,0
Study_10,Site 87,CZE,EMEA,1,0,0,0,0,4,0,0,0,0
Study_10,Site 9,JPN,ASIA,3,0,4,0,0,0,0,0,0,0
Study_11,148,Unknown,Unknown,1,0,0,0,0,0,0,0,0,0
Study_11,Site 12,ESP,EMEA,2,0,0,0,0,0,0,0,0,0
Study_11,Site 125,NLD,EMEA,1,0,0,0,0,0,0,0,0,0
Study_11,Site 127,NLD,EMEA,1,0,0,8,0,0,0,0,0,0
Study_11,Site 128,NLD,EMEA,3,1,0,0,0,4,0,0,0,0
Study_11,Site 130,POL,EMEA,2,0,0,0,0,0,0,0,0,0
Study_11,Site 131,POL,EMEA,3,0,0,5,0,2,0,0,0,0
Study_11,Site 14,CAN,AMERICA,1,0,0,2,0,0,0,0,0,0
Study_11,Site 148,CHE,EMEA,10,0,0,15,0,4,0,0,0,0
Study_11,Site 149,CHE,EMEA,7,0,0,1,0,0,0,0,0,0
Study_11,Site 15,CAN,AMERICA,1,0,0,0,0,0,0,0,0,0
Study_11,Site 155,GBR,EMEA,1,0,2,6,0,1,0,0,0,0
Study_11,Site 157,GBR,EMEA,1,0,0,15,15,0,0,0,0,0
Study_11,Site 158,GBR,EMEA,6,0,0,0,0,0,0,0,0,0
Study_11,Site 178,USA,AMERICA,1,0,0,0,0,0,0,0,0,0
Study_11,Site 18,USA,AMERICA,5,0,0,1,0,0,0,0,0,0
Study_11,Site 181,USA,AMERICA,2,0,0,0,0,0,0,0,0,0
Study_11,Site 183,USA,AMERICA,1,0,0,0,0,0,0,0,0,0
Study_11,Site 184,USA,AMERICA,2,0,0,0,0,1,0,0,0,0
Study_11,Site 186,USA,AMERICA,2,0,0,6,0,3,0,0,0,0
Study_11,Site 188,USA,AMERICA,1,0,0,0,0,0,0,0,0,0
Study_11,Site 189,USA,AMERICA,4,0,0,0,0,3,0,0,0,0
Study_11,Site 2,JPN,ASIA,3,0,0,4,0,0,0,0,0,0
Study_11,Site 20,USA,AMERICA,6,0,0,4,0,1,0,0,1,0
Study_11,Site 21,USA,AMERICA,5,0,0,23,0,2,0,0,0,0
Study_11,Site 24,USA,AMERICA,1,0,0,0,0,1,0,0,0,0
Study_11,Site 28,JPN,ASIA,3,0,0,21,0,0,0,0,0,0
Study_11,Site 29,JPN,ASIA,1,0,0,0,0,0,0,0,0,0
Study_11,Site 31,JPN,ASIA,1,0,0,3,0,0,0,0,0,0
Study_11,Site 326,USA,AMERICA,1,0,0,0,0,0,0,0,0,0
Study_11,Site 330,USA,AMERICA,1,0,0,0,0,0,0,0,0,0
Study_11,Site 34,JPN,ASIA,2,0,0,0,0,0,0,0,0,0
Study_11,Site 35,JPN,ASIA,9,0,1,39,0,8,0,1,0,0
Study_11,Site 350,BRA,AMERICA,1,0,0,0,0,1,0,0,0,0
Study_11,Site 351,CHL,AMERICA,4,0,0,0,0,0,0,0,0,0
Study_11,Site 353,ESP,EMEA,5,0,0,8,0,2,0,0,0,0
Study_11,Site 357,JPN,ASIA,3,0,0,4,0,2,0,0,0,0
Study_11,Site 358,HUN,EMEA,10,0,0,0,0,0,0,0,0,0
Study_11,Site 359,HUN,EMEA,1,0,0,0,0,0,0,0,0,0
Study_11,Site 36,JPN,ASIA,1,0,0,1,0,0,0,0,0,0
Study_11,Site 37,JPN,ASIA,1,0,0,0,0,1,0,0,0,0
Study_11,Site 39,JPN,ASIA,1,0,0,7,0,0,0,0,0,0
Study_11,Site 4,JPN,ASIA,6,0,0,16,0,0,0,0,0,0
Study_11,Site 41,JPN,ASIA,8,0,0,84,0,2,0,0,0,0
Study_11,Site 417,ITA,EMEA,1,0,0,43,32,1,0,0,0,0
Study_11,Site 42,JPN,ASIA,2,0,0,3,0,1,0,0,0,0
Study_11,Site 450,USA,AMERICA,6,0,0,3,0,0,0,0,0,0
Study_11,Site 452,JPN,ASIA,2,0,0,0,0,0,0,0,0,0
Study_11,Site 453,JPN,ASIA,1,0,0,2,0,0,0,0,0,0
Study_11,Site 454,JPN,ASIA,4,0,0,6,0,3,0,0,0,0
Study_11,Site 455,JPN,ASIA,2,0,0,0,0,0,0,0,0,0
Study_11,Site 459,CZE,EMEA,6,0,0,0,0,0,0,0,0,0
Study_11,Site 466,AUS,ASIA,9,0,0,1,0,1,0,0,0,0
Study_11,Site 467,AUS,ASIA,7,0,0,33,0,2,0,2,0,0
Study_11,Site 468,AUS,ASIA,5,0,0,52,7,0,0,0,0,0
Study_11,Site 469,LBN,EMEA,1,0,0,0,0,0,0,0,0,0
Study_11,Site 470,ZAF,EMEA,2,0,0,0,0,1,0,0,0,0
Study_11,Site 471,CZE,EMEA,2,0,0,0,0,1,0,0,0,0
Study_11,Site 472,CZE,EMEA,8,1,0,0,0,6,0,0,0,0
Study_11,Site 473,CZE,EMEA,4,0,0,0,0,0,0,0,0,0
Study_11,Site 474,CZE,EMEA,8,0,4,0,0,3,0,0,0,0
Study_11,Site 475,DNK,EMEA,3,0,0,3,0,1,0,0,0,0
Study_11,Site 476,DNK,EMEA,2,1,1,17,0,0,0,0,4,0
Study_11,Site 477,DNK,EMEA,6,0,0,12,0,3,0,0,0,0
Study_11,Site 478,DNK,EMEA,3,0,0,8,0,0,0,0,0,0
Study_11,Site 479,FRA,EMEA,4,0,0,39,0,2,0,0,0,0
Study_11,Site 480,FRA,EMEA,8,0,0,35,0,3,0,0,0,0
Study_11,Site 481,FRA,EMEA,1,0,0,0,0,0,0,0,0,0
Study_11,Site 482,FRA,EMEA,4,0,0,18,4,0,0,0,0,0
Study_11,Site 483,FRA,EMEA,7,0,0,6,0,0,0,0,0,0
Study_11,Site 484,FRA,EMEA,2,0,0,12,0,0,0,0,0,0
Study_11,Site 485,FRA,EMEA,6,0,0,3,0,0,0,0,0,0
Study_11,Site 486,FRA,EMEA,2,0,0,65,0,0,0,0,0,0
Study_11,Site 487,FRA,EMEA,5,0,0,61,0,0,0,0,0,0
Study_11,Site 488,FRA,EMEA,4,2,0,1,0,10,0,0,0,0
Study_11,Site 489,FRA,EMEA,5,0,0,6,0,3,0,0,0,0
Study_11,Site 490,FRA,EMEA,2,0,0,0,0,0,0,0,0,0
Study_11,Site 491,FRA,EMEA,3,0,0,5,1,1,0,0,1,0
Study_11,Site 492,FRA,EMEA,3,0,0,5,0,4,0,0,0,0
Study_11,Site 493,DEU,EMEA,5,0,0,4,1,6,0,0,0,0
Study_11,Site 494,DEU,EMEA,2,0,0,0,0,0,0,0,0,0
Study_11,Site 495,DEU,EMEA,2,0,0,21,0,0,0,0,0,0
Study_11,Site 496,DEU,EMEA,3,2,0,4,0,2,0,0,0,0
Study_11,Site 497,DEU,EMEA,3,0,0,5,0,0,0,0,0,0
Study_11,Site 498,DEU,EMEA,5,0,0,13,0,0,0,0,0,0
Study_11,Site 499,DEU,EMEA,3,0,0,3,0,4,0,1,1,0
Study_11,Site 5,ZAF,EMEA,5,0,0,0,0,2,0,0,4,0
Study_11,Site 50,TUR,EMEA,1,0,0,0,0,0,0,0,0,0
Study_11,Site 500,DEU,EMEA,4,0,2,0,0,2,0,0,1,0
Study_11,Site 501,DEU,EMEA,5,1,0,11,0,5,0,0,0,0
Study_11,Site 502,ITA,EMEA,2,0,0,0,0,0,0,0,0,0
Study_11,Site 503,ITA,EMEA,8,0,0,29,0,3,0,0,0,0
Study_11,Site 504,ITA,EMEA,2,0,0,0,0,0,0,0,0,0
Study_11,Site 505,ITA,EMEA,6,0,0,22,0,5,0,0,0,0
Study_11,Site 506,ITA,EMEA,5,0,0,0,0,3,0,0,0,0
Study_11,Site 507,ITA,EMEA,2,1,0,3,0,4,0,0,0,0
Study_11,Site 508,ITA,EMEA,1,0,0,2,0,0,0,0,0,0
Study_11,Site 509,POL,EMEA,1,0,0,2,0,0,0,0,0,0
Study_11,Site 510,POL,EMEA,2,0,0,6,0,1,0,0,0,0
Study_11,Site 511,POL,EMEA,2,0,0,0,0,0,0,0,0,0
Study_11,Site 512,ESP,EMEA,4,0,0,9,0,1,0,0,0,0
Study_11,Site 513,ESP,EMEA,3,0,0,0,0,0,0,0,0,0
Study_11,Site 514,ESP,EMEA,3,0,0,0,0,0,0,0,0,0
Study_11,Site 515,ESP,EMEA,4,0,0,0,0,0,0,0,0,0
Study_11,Site 516,ESP,EMEA,4,0,0,10,0,2,0,0,0,1
Study_11,Site 517,CHE,EMEA,1,0,0,0,0,0,0,0,0,0
Study_11,Site 518,ISR,EMEA,4,0,0,0,0,1,0,0,0,0
Study_11,Site 519,ISR,EMEA,5,0,0,4,0,2,0,0,0,0
Study_11,Site 520,COL,AMERICA,3,1,0,0,0,2,0,0,0,0
Study_11,Site 521,COL,AMERICA,4,0,2,0,0,0,0,0,0,0
Study_11,Site 522,COL,AMERICA,1,0,0,0,0,0,0,0,0,0
Study_11,Site 523,COL,AMERICA,3,0,0,0,0,1,0,0,0,0
Study_11,Site 524,ARG,AMERICA,4,1,0,0,0,2,0,0,0,0
Study_11,Site 525,ARG,AMERICA,1,0,0,0,0,1,0,0,0,0
Study_11,Site 526,ARG,AMERICA,6,0,0,6,0,2,0,0,0,0
Study_11,Site 527,ARG,AMERICA,1,0,0,0,0,0,0,0,0,0
Study_11,Site 528,MEX,AMERICA,8,0,2,19,0,4,0,0,0,0
Study_11,Site 529,BRA,AMERICA,1,0,0,0,0,0,0,0,0,0
Study_11,Site 530,BRA,AMERICA,1,0,0,0,0,0,0,0,0,0
Study_11,Site 531,CHL,AMERICA,1,0,0,0,0,0,0,0,0,0
Study_11,Site 532,CHL,AMERICA,3,0,2,3,0,1,0,0,0,0
Study_11,Site 533,CHL,AMERICA,7,0,0,0,0,2,0,0,0,0
Study_11,Site 534,CHL,AMERICA,1,0,0,0,0,0,0,0,0,0
Study_11,Site 535,USA,AMERICA,1,0,0,0,0,0,0,0,0,0
Study_11,Site 536,USA,AMERICA,4,0,0,0,0,0,0,0,0,0
Study_11,Site 537,USA,AMERICA,1,0,0,0,0,0,0,0,0,0
Study_11,Site 538,USA,AMERICA,3,0,0,6,3,0,0,0,0,0
Study_11,Site 539,USA,AMERICA,1,0,0,0,0,0,0,0,0,0
Study_11,Site 540,ISL,EMEA,1,0,0,0,0,0,0,0,0,0
Study_11,Site 541,IRL,EMEA,4,0,0,17,0,5,0,0,0,0
Study_11,Site 542,SWE,EMEA,2,0,0,28,0,2,0,0,0,0
Study_11,Site 543,USA,AMERICA,4,0,0,0,0,0,0,0,0,0
Study_11,Site 544,USA,AMERICA,5,0,0,9,0,0,0,0,0,0
Study_11,Site 545,USA,AMERICA,3,0,0,3,0,3,0,0,0,0
Study_11,Site 546,USA,AMERICA,1,0,0,2,0,0,0,0,0,0
Study_11,Site 547,USA,AMERICA,3,0,0,0,0,0,0,0,0,0
Study_11,Site 548,USA,AMERICA,2,0,0,0,0,0,0,0,0,0
Study_11,Site 549,USA,AMERICA,1,0,0,0,0,0,0,0,0,0
Study_11,Site 550,USA,AMERICA,4,0,0,0,0,0,0,0,0,0
Study_11,Site 551,USA,AMERICA,3,0,0,0,0,0,0,0,0,0
Study_11,Site 552,USA,AMERICA,2,0,0,0,0,0,0,0,0,0
Study_11,Site 553,USA,AMERICA,2,0,0,0,0,1,0,0,0,0
Study_11,Site 6,ZAF,EMEA,2,0,0,0,0,1,0,0,0,0
Study_11,Site 62,BEL,EMEA,3,0,0,56,0,0,0,0,0,0
Study_11,Site 63,BEL,EMEA,3,1,0,26,0,2,0,0,0,0
Study_11,Site 7,CZE,EMEA,3,0,0,7,0,2,0,0,0,0
Study_11,Site 8,CZE,EMEA,5,0,0,4,0,1,0,0,0,0
Study_11,Site 87,HUN,EMEA,3,0,0,0,0,1,0,0,0,0
Study_11,Site 88,HUN,EMEA,4,0,0,0,0,1,0,0,0,0
Study_13,13,Unknown,Unknown,1,0,0,0,0,0,0,0,0,0
Study_13,Site 109,USA,AMERICA,2,0,0,0,0,3,0,2,41,1
Study_13,Site 110,AUS,ASIA,1,0,23,0,0,35,0,1,21,0
Study_13,Site 125,KOR,ASIA,1,0,0,0,0,5,0,0,1,0
Study_13,Site 130,SGP,ASIA,5,0,0,121,0,14,0,2,102,0
Study_13,Site 2,CAN,AMERICA,2,0,0,0,0,20,1,0,2,0
Study_13,Site 353,TWN,ASIA,1,0,0,0,0,0,0,0,34,0
Study_13,Site 417,JPN,ASIA,3,0,0,0,0,6,0,3,9,0
Study_13,Site 468,USA,AMERICA,1,0,0,0,0,11,0,0,0,0
Study_13,Site 588,ISR,EMEA,1,0,0,0,0,1,0,0,39,0
Study_13,Site 589,ISR,EMEA,2,0,0,150,0,6,0,0,32,2
Study_13,Site 597,USA,AMERICA,1,0,0,0,0,0,0,1,30,0
Study_13,Site 598,DEU,EMEA,1,0,0,0,0,3,0,0,0,0
Study_13,Site 87,AUS,ASIA,1,0,0,0,0,2,0,0,15,0
Study_14,2,Unknown,Unknown,1,0,0,0,0,0,0,0,0,0
Study_14,Site 502,CAN,AMERICA,2,0,0,0,0,34,2,1,5,0
Study_14,Site 503,CAN,AMERICA,1,0,0,0,0,0,0,0,2,0
Study_15,2,Unknown,Unknown,1,0,0,0,0,0,0,0,0,0
Study_15,Site 2,USA,AMERICA,26,0,0,0,0,133,0,0,44,0
Study_15,Site 3,USA,AMERICA,67,0,0,0,0,276,1,0,103,0
Study_16,176,Unknown,Unknown,1,0,0,0,0,0,0,0,0,0
Study_16,Site 599,USA,AMERICA,2,2,0,0,0,18,0,0,40,4
Study_16,Site 600,USA,AMERICA,1,0,0,0,0,0,0,0,3,0
Study_16,Site 601,USA,AMERICA,7,0,0,0,0,0,0,0,165,0
Study_16,Site 602,USA,AMERICA,22,5,0,8,1,25,1,4,249,22
Study_16,Site 603,USA,AMERICA,4,3,0,10,0,3,2,9,93,0
Study_16,Site 604,USA,AMERICA,2,0,0,0,0,0,0,0,61,0
Study_16,Site 605,USA,AMERICA,3,4,0,0,0,34,0,0,31,9
Study_16,Site 606,USA,AMERICA,6,3,0,0,0,16,0,0,74,2
Study_16,Site 607,USA,AMERICA,3,0,0,0,0,0,0,0,44,0
Study_16,Site 608,USA,AMERICA,6,0,0,0,0,12,0,0,104,0
Study_16,Site 609,USA,AMERICA,2,0,0,0,0,0,0,0,21,0
Study_16,Site 610,USA,AMERICA,7,0,0,0,0,28,0,0,125,1
Study_16,Site 611,USA,AMERICA,12,0,0,0,0,19,2,0,167,0
Study_16,Site 612,USA,AMERICA,1,0,0,0,0,2,0,0,0,0
Study_16,Site 613,USA,AMERICA,1,0,0,0,0,0,0,0,17,0
Study_16,Site 614,USA,AMERICA,3,0,0,0,0,2,0,0,21,6
Study_16,Site 615,USA,AMERICA,4,5,0,0,0,3,0,0,54,2
Study_16,Site 616,USA,AMERICA,1,0,0,0,0,0,0,0,34,0
Study_16,Site 617,USA,AMERICA,1,0,0,0,0,0,0,0,39,0
Study_16,Site 618,USA,AMERICA,1,1,0,0,0,13,0,0,17,1
Study_16,Site 619,USA,AMERICA,1,0,0,0,0,0,0,0,4,0
Study_16,Site 620,USA,AMERICA,2,3,0,0,0,15,0,0,9,0
Study_16,Site 621,USA,AMERICA,7,1,0,0,0,5,0,0,173,0
Study_16,Site 622,USA,AMERICA,3,0,0,0,0,6,0,0,85,0
Study_16,Site 623,CAN,AMERICA,2,5,0,0,0,7,0,0,35,1
Study_16,Site 624,CAN,AMERICA,11,1,2,0,0,12,0,0,126,1
Study_16,Site 625,CAN,AMERICA,3,10,0,0,0,3,0,0,37,3
Study_16,Site 626,CAN,AMERICA,1,0,0,0,0,2,0,0,25,1
Study_16,Site 627,CAN,AMERICA,4,2,0,0,0,3,0,0,66,20
Study_16,Site 628,CAN,AMERICA,1,3,18,0,0,1,0,0,13,10
Study_16,Site 629,CAN,AMERICA,2,1,1,0,0,1,0,0,34,7
Study_16,Site 630,GRC,EMEA,1,0,0,0,0,0,0,0,25,0
Study_16,Site 631,GRC,EMEA,1,0,0,0,0,1,0,0,39,4
Study_16,Site 632,GRC,EMEA,3,3,0,0,0,6,0,0,32,8
Study_16,Site 633,GRC,EMEA,2,2,0,0,0,2,0,0,9,1
Study_16,Site 634,GRC,EMEA,1,0,0,3,0,3,0,0,13,4
Study_16,Site 635,GRC,EMEA,1,2,0,0,0,3,0,0,7,4
Study_16,Site 636,BEL,EMEA,1,0,0,0,0,0,0,0,19,0
Study_16,Site 637,BEL,EMEA,8,7,0,9,8,5,0,1,180,65
Study_16,Site 638,BEL,EMEA,1,4,0,0,0,1,0,0,4,5
Study_16,Site 639,BEL,EMEA,4,3,0,0,0,4,0,0,54,10
Study_16,Site 640,BEL,EMEA,5,6,0,0,0,7,0,0,38,63
Study_16,Site 641,BEL,EMEA,1,1,0,0,0,1,0,0,8,11
Study_16,Site 642,FRA,EMEA,2,5,0,0,0,2,0,0,19,4
Study_16,Site 643,FRA,EMEA,2,0,0,0,0,2,0,0,18,9
Study_16,Site 644,FRA,EMEA,2,0,0,0,0,11,0,1,35,2
Study_16,Site 645,FRA,EMEA,4,0,0,0,0,1,0,0,67,7
Study_16,Site 646,FRA,EMEA,1,5,0,0,0,1,0,0,17,3
Study_16,Site 647,FRA,EMEA,1,0,0,0,0,0,0,0,27,0
Study_16,Site 648,ESP,EMEA,6,0,0,0,0,1,0,0,180,6
Study_16,Site 649,ESP,EMEA,1,2,0,0,0,1,0,0,9,6
Study_16,Site 650,ESP,EMEA,2,0,42,0,0,2,0,0,6,6
Study_16,Site 651,ESP,EMEA,2,0,0,0,0,0,0,0,28,0
Study_16,Site 652,ESP,EMEA,1,0,0,0,0,9,0,0,9,2
Study_16,Site 653,ESP,EMEA,4,1,0,0,0,4,0,0,48,44
Study_16,Site 654,HRV,EMEA,4,6,0,0,0,4,0,0,19,2
Study_16,Site 655,HRV,EMEA,1,0,0,0,0,2,0,0,3,0
Study_16,Site 656,HRV,EMEA,1,0,0,0,0,0,0,0,3,0
Study_16,Site 657,ITA,EMEA,7,4,0,0,0,5,0,0,70,10
Study_16,Site 658,ITA,EMEA,4,8,0,0,0,3,0,0,19,5
Study_16,Site 659,ITA,EMEA,2,3,0,0,0,1,0,3,21,8
Study_16,Site 660,ITA,EMEA,1,0,0,0,0,0,0,0,33,0
Study_16,Site 661,ITA,EMEA,8,7,0,4,2,11,0,0,70,29
Study_16,Site 662,ITA,EMEA,1,3,0,0,0,8,0,0,11,7
Study_16,Site 663,ITA,EMEA,2,0,0,0,0,1,0,0,40,6
Study_16,Site 664,CZE,EMEA,4,5,0,0,0,3,0,0,52,39
Study_16,Site 665,GBR,EMEA,1,0,0,0,0,1,0,0,11,5
Study_16,Site 666,GBR,EMEA,2,0,0,0,0,0,0,0,56,0
Study_16,Site 667,GBR,EMEA,3,6,0,2,0,2,0,1,84,2
Study_16,Site 668,GBR,EMEA,2,0,0,0,0,0,0,0,23,0
Study_16,Site 669,DEU,EMEA,5,3,0,0,0,5,0,0,57,19
Study_16,Site 670,DEU,EMEA,2,0,0,0,0,0,0,0,34,0
Study_16,Site 671,DEU,EMEA,3,8,0,0,0,14,0,0,40,10
Study_16,Site 672,DEU,EMEA,1,5,0,0,0,1,0,0,3,2
Study_16,Site 673,DEU,EMEA,2,0,0,0,0,7,0,0,33,2
Study_16,Site 674,DEU,EMEA,2,5,0,9,6,12,0,0,45,4
Study_16,Site 675,MEX,AMERICA,5,7,0,0,0,3,0,0,57,10
Study_16,Site 676,MEX,AMERICA,7,0,0,0,0,4,0,0,186,7
Study_16,Site 677,MEX,AMERICA,1,0,0,0,0,0,0,0,3,0
Study_16,Site 678,ARG,AMERICA,4,11,0,0,0,6,0,0,20,11
Study_16,Site 679,ARG,AMERICA,4,8,15,0,0,4,0,0,25,11
Study_16,Site 680,ARG,AMERICA,7,1,0,3,0,9,0,3,84,4
Study_16,Site 681,ARG,AMERICA,1,0,0,0,0,0,0,0,27,0
Study_16,Site 682,ARG,AMERICA,8,2,0,3,1,7,0,0,174,4
Study_16,Site 683,ARG,AMERICA,2,0,0,0,0,6,0,0,10,4
Study_16,Site 684,BRA,AMERICA,8,13,0,0,0,8,0,0,102,2
Study_16,Site 685,BRA,AMERICA,11,2,0,0,0,12,0,0,199,1
Study_16,Site 686,BRA,AMERICA,8,1,0,0,0,10,1,1,51,25
Study_16,Site 687,BRA,AMERICA,6,1,0,0,0,5,0,0,129,1
Study_16,Site 688,BRA,AMERICA,3,0,0,0,0,0,0,0,100,0
Study_16,Site 689,BRA,AMERICA,11,0,0,0,0,2,0,1,278,8
Study_16,Site 690,BRA,AMERICA,4,1,0,0,0,1,0,0,71,0
Study_16,Site 691,MYS,ASIA,6,2,40,0,0,12,0,0,105,4
Study_16,Site 692,MYS,ASIA,2,0,0,0,0,1,0,0,37,0
Study_16,Site 693,MYS,ASIA,2,0,0,2,2,4,0,0,10,0
Study_16,Site 694,MYS,ASIA,4,3,0,0,0,5,0,0,14,14
Study_16,Site 695,MYS,ASIA,3,0,0,0,0,1,0,0,78,2
Study_16,Site 696,AUS,ASIA,4,7,0,0,0,3,0,0,71,7
Study_16,Site 697,AUS,ASIA,5,0,0,0,0,2,0,0,122,14
Study_16,Site 698,AUS,ASIA,3,0,0,0,0,1,0,0,17,10
Study_16,Site 699,AUS,ASIA,7,2,0,0,0,3,0,0,84,24
Study_16,Site 700,AUS,ASIA,3,0,0,0,0,3,0,0,56,26
Study_16,Site 701,AUS,ASIA,7,4,0,26,7,3,0,0,152,21
Study_16,Site 702,AUS,ASIA,8,12,0,0,0,16,0,1,42,1
Study_16,Site 703,JPN,ASIA,5,0,0,0,0,22,0,0,53,0
Study_16,Site 704,JPN,ASIA,1,0,0,0,0,3,0,0,8,0
Study_16,Site 705,JPN,ASIA,3,0,0,0,0,1,0,0,55,0
Study_16,Site 706,JPN,ASIA,3,1,0,0,0,27,0,0,13,0
Study_16,Site 707,JPN,ASIA,2,0,3,0,0,2,0,0,13,3
Study_16,Site 708,JPN,ASIA,6,6,0,0,0,11,0,0,25,0
Study_16,Site 709,JPN,ASIA,2,2,0,0,0,4,0,0,7,0
Study_16,Site 710,JPN,ASIA,2,0,0,0,0,0,0,0,20,0
Study_16,Site 711,JPN,ASIA,14,0,0,0,0,22,0,1,250,1
Study_16,Site 712,JPN,ASIA,4,0,0,0,0,18,0,0,49,0
Study_16,Site 713,JPN,ASIA,2,0,0,0,0,8,0,0,2,0
Study_16,Site 714,JPN,ASIA,3,0,0,0,0,1,0,0,45,0
Study_16,Site 715,JPN,ASIA,3,0,0,0,0,1,0,0,38,0
Study_16,Site 716,JPN,ASIA,1,0,0,0,0,1,0,0,6,0
Study_16,Site 717,JPN,ASIA,3,1,0,0,0,2,0,0,9,0
Study_16,Site 718,JPN,ASIA,1,0,0,0,0,0,0,0,24,0
