study,site_id,anomaly_count,critical_count,high_count,medium_count,low_count,anomaly_types,type_diversity,anomaly_score,top_anomalies,is_anomaly
Study_21,Site 965,1,1,0,0,0,PATTERN_ANOMALY,1,1.1,Site has 3 pending SAE reviews but is classified as 'Medium' risk (should be High),True
Study_21,Site 963,1,1,0,0,0,PATTERN_ANOMALY,1,1.1,Site has 3 pending SAE reviews but is classified as 'Low' risk (should be High),True
Study_21,Site 957,1,1,0,0,0,PATTERN_ANOMALY,1,1.1,Site has 6 pending SAE reviews but is classified as 'Medium' risk (should be High),True
Study_21,Site 944,1,1,0,0,0,PATTERN_ANOMALY,1,1.1,Site has 3 pending SAE reviews but is classified as 'Low' risk (should be High),True
Study_21,Site 943,1,1,0,0,0,PATTERN_ANOMALY,1,1.1,Site has 3 pending SAE reviews but is classified as 'Low' risk (should be High),True
Study_21,Site 941,1,1,0,0,0,PATTERN_ANOMALY,1,1.1,Site has 10 pending SAE reviews but is classified as 'Low' risk (should be High),True
Study_21,Site 94,1,1,0,0,0,PATTERN_ANOMALY,1,1.1,Site has 3 pending SAE reviews but is classified as 'Low' risk (should be High),True
Study_21,Site 938,1,1,0,0,0,PATTERN_ANOMALY,1,1.1,Site has 3 pending SAE reviews but is classified as 'Low' risk (should be High),True
Study_21,Site 936,1,1,0,0,0,PATTERN_ANOMALY,1,1.1,Site has 8 pending SAE reviews but is classified as 'Medium' risk (should be High),True
Study_21,Site 929,1,1,0,0,0,PATTERN_ANOMALY,1,1.1,Site has 4 pending SAE reviews but is classified as 'Low' risk (should be High),True
Study_21,Site 918,1,1,0,0,0,PATTERN_ANOMALY,1,1.1,Site has 3 pending SAE reviews but is classified as 'Low' risk (should be High),True
Study_21,Site 914,1,1,0,0,0,PATTERN_ANOMALY,1,1.1,Site has 3 pending SAE reviews but is classified as 'Medium' risk (should be High),True
Study_21,Site 91,1,1,0,0,0,PATTERN_ANOMALY,1,1.1,Site has 9 pending SAE reviews but is classified as 'Low' risk (should be High),True
Study_21,Site 908,1,1,0,0,0,PATTERN_ANOMALY,1,1.1,Site has 4 pending SAE reviews but is classified as 'Low' risk (should be High),True
Study_21,Site 907,1,1,0,0,0,PATTERN_ANOMALY,1,1.1,Site has 4 pending SAE reviews but is classified as 'Low' risk (should be High),True
Study_21,Site 903,1,1,0,0,0,PATTERN_ANOMALY,1,1.1,Site has 3 pending SAE reviews but is classified as 'Low' risk (should be High),True
Study_21,Site 902,1,1,0,0,0,PATTERN_ANOMALY,1,1.1,Site has 3 pending SAE reviews but is classified as 'Medium' risk (should be High),True
Study_21,Site 898,1,1,0,0,0,PATTERN_ANOMALY,1,1.1,Site has 4 pending SAE reviews but is classified as 'Low' risk (should be High),True
Study_21,Site 895,1,1,0,0,0,PATTERN_ANOMALY,1,1.1,Site has 3 pending SAE reviews but is classified as 'Medium' risk (should be High),True
Study_21,Site 892,1,1,0,0,0,PATTERN_ANOMALY,1,1.1,Site has 4 pending SAE reviews but is classified as 'Medium' risk (should be High),True
Study_21,Site 891,1,1,0,0,0,PATTERN_ANOMALY,1,1.1,Site has 3 pending SAE reviews but is classified as 'Low' risk (should be High),True
Study_21,Site 890,1,1,0,0,0,PATTERN_ANOMALY,1,1.1,Site has 9 pending SAE reviews but is classified as 'Medium' risk (should be High),True
Study_21,Site 89,1,1,0,0,0,PATTERN_ANOMALY,1,1.1,Site has 3 pending SAE reviews but is classified as 'Low' risk (should be High),True
Study_21,Site 888,1,1,0,0,0,PATTERN_ANOMALY,1,1.1,Site has 4 pending SAE reviews but is classified as 'Low' risk (should be High),True
Study_21,Site 887,1,1,0,0,0,PATTERN_ANOMALY,1,1.1,Site has 3 pending SAE reviews but is classified as 'Medium' risk (should be High),True
Study_21,Site 883,1,1,0,0,0,PATTERN_ANOMALY,1,1.1,Site has 3 pending SAE reviews but is classified as 'Low' risk (should be High),True
Study_21,Site 878,1,1,0,0,0,PATTERN_ANOMALY,1,1.1,Site has 4 pending SAE reviews but is classified as 'Medium' risk (should be High),True
Study_21,Site 990,1,1,0,0,0,PATTERN_ANOMALY,1,1.1,Site has 4 pending SAE reviews but is classified as 'Low' risk (should be High),True
Study_21,Site 862,1,1,0,0,0,PATTERN_ANOMALY,1,1.1,Site has 4 pending SAE reviews but is classified as 'Low' risk (should be High),True
Study_21,Site 859,1,1,0,0,0,PATTERN_ANOMALY,1,1.1,Site has 8 pending SAE reviews but is classified as 'Low' risk (should be High),True
Study_21,Site 858,1,1,0,0,0,PATTERN_ANOMALY,1,1.1,Site has 3 pending SAE reviews but is classified as 'Medium' risk (should be High),True
Study_21,Site 857,1,1,0,0,0,PATTERN_ANOMALY,1,1.1,Site has 4 pending SAE reviews but is classified as 'Low' risk (should be High),True
Study_21,Site 856,1,1,0,0,0,PATTERN_ANOMALY,1,1.1,Site has 13 pending SAE reviews but is classified as 'Medium' risk (should be High),True
Study_21,Site 852,1,1,0,0,0,PATTERN_ANOMALY,1,1.1,Site has 4 pending SAE reviews but is classified as 'Low' risk (should be High),True
Study_21,Site 836,1,1,0,0,0,PATTERN_ANOMALY,1,1.1,Site has 3 pending SAE reviews but is classified as 'Medium' risk (should be High),True
Study_21,Site 828,1,1,0,0,0,PATTERN_ANOMALY,1,1.1,Site has 3 pending SAE reviews but is classified as 'Medium' risk (should be High),True
Study_21,Site 823,1,1,0,0,0,PATTERN_ANOMALY,1,1.1,Site has 3 pending SAE reviews but is classified as 'Low' risk (should be High),True
Study_21,Site 819,1,1,0,0,0,PATTERN_ANOMALY,1,1.1,Site has 3 pending SAE reviews but is classified as 'Medium' risk (should be High),True
Study_21,Site 818,1,1,0,0,0,PATTERN_ANOMALY,1,1.1,Site has 3 pending SAE reviews but is classified as 'Low' risk (should be High),True
Study_21,Site 816,1,1,0,0,0,PATTERN_ANOMALY,1,1.1,Site has 3 pending SAE reviews but is classified as 'Medium' risk (should be High),True
Study_21,Site 809,1,1,0,0,0,PATTERN_ANOMALY,1,1.1,Site has 3 pending SAE reviews but is classified as 'Medium' risk (should be High),True
Study_21,Site 807,1,1,0,0,0,PATTERN_ANOMALY,1,1.1,Site has 3 pending SAE reviews but is classified as 'Medium' risk (should be High),True
Study_21,Site 805,1,1,0,0,0,PATTERN_ANOMALY,1,1.1,Site has 4 pending SAE reviews but is classified as 'Low' risk (should be High),True
Study_21,Site 791,1,1,0,0,0,PATTERN_ANOMALY,1,1.1,Site has 4 pending SAE reviews but is classified as 'Low' risk (should be High),True
Study_21,Site 790,1,1,0,0,0,PATTERN_ANOMALY,1,1.1,Site has 4 pending SAE reviews but is classified as 'Low' risk (should be High),True
Study_21,Site 784,1,1,0,0,0,PATTERN_ANOMALY,1,1.1,Site has 4 pending SAE reviews but is classified as 'Low' risk (should be High),True
Study_21,Site 783,1,1,0,0,0,PATTERN_ANOMALY,1,1.1,Site has 4 pending SAE reviews but is classified as 'Low' risk (should be High),True
Study_21,Site 594,1,1,0,0,0,PATTERN_ANOMALY,1,1.1,Site has 3 pending SAE reviews but is classified as 'Medium' risk (should be High),True
Study_21,Site 584,1,1,0,0,0,PATTERN_ANOMALY,1,1.1,Site has 3 pending SAE reviews but is classified as 'Low' risk (should be High),True
Study_21,Site 575,1,1,0,0,0,PATTERN_ANOMALY,1,1.1,Site has 3 pending SAE reviews but is classified as 'Low' risk (should be High),True
Study_21,Site 571,1,1,0,0,0,PATTERN_ANOMALY,1,1.1,Site has 4 pending SAE reviews but is classified as 'Medium' risk (should be High),True
Study_21,Site 522,1,1,0,0,0,PATTERN_ANOMALY,1,1.1,Site has 4 pending SAE reviews but is classified as 'Low' risk (should be High),True
Study_21,Site 521,1,1,0,0,0,PATTERN_ANOMALY,1,1.1,Site has 3 pending SAE reviews but is classified as 'Low' risk (should be High),True
Study_21,Site 503,1,1,0,0,0,PATTERN_ANOMALY,1,1.1,Site has 4 pending SAE reviews but is classified as 'Low' risk (should be High),True
Study_21,Site 419,1,1,0,0,0,PATTERN_ANOMALY,1,1.1,Site has 3 pending SAE reviews but is classified as 'Medium' risk (should be High),True
Study_21,Site 41,1,1,0,0,0,PATTERN_ANOMALY,1,1.1,Site has 4 pending SAE reviews but is classified as 'Low' risk (should be High),True
Study_21,Site 333,1,1,0,0,0,PATTERN_ANOMALY,1,1.1,Site has 4 pending SAE reviews but is classified as 'Medium' risk (should be High),True
Study_21,Site 315,1,1,0,0,0,PATTERN_ANOMALY,1,1.1,Site has 4 pending SAE reviews but is classified as 'Low' risk (should be High),True
Study_21,Site 286,1,1,0,0,0,PATTERN_ANOMALY,1,1.1,Site has 4 pending SAE reviews but is classified as 'Medium' risk (should be High),True
Study_21,Site 285,1,1,0,0,0,PATTERN_ANOMALY,1,1.1,Site has 3 pending SAE reviews but is classified as 'Low' risk (should be High),True
Study_21,Site 283,1,1,0,0,0,PATTERN_ANOMALY,1,1.1,Site has 10 pending SAE reviews but is classified as 'Medium' risk (should be High),True
Study_21,Site 281,1,1,0,0,0,PATTERN_ANOMALY,1,1.1,Site has 4 pending SAE reviews but is classified as 'Low' risk (should be High),True
Study_21,Site 279,1,1,0,0,0,PATTERN_ANOMALY,1,1.1,Site has 3 pending SAE reviews but is classified as 'Medium' risk (should be High),True
Study_21,Site 27,1,1,0,0,0,PATTERN_ANOMALY,1,1.1,Site has 3 pending SAE reviews but is classified as 'Low' risk (should be High),True
Study_21,Site 24,1,1,0,0,0,PATTERN_ANOMALY,1,1.1,Site has 3 pending SAE reviews but is classified as 'Low' risk (should be High),True
Study_21,Site 23,1,1,0,0,0,PATTERN_ANOMALY,1,1.1,Site has 3 pending SAE reviews but is classified as 'Low' risk (should be High),True
Study_21,Site 217,1,1,0,0,0,PATTERN_ANOMALY,1,1.1,Site has 3 pending SAE reviews but is classified as 'Low' risk (should be High),True
Study_21,Site 212,1,1,0,0,0,PATTERN_ANOMALY,1,1.1,Site has 4 pending SAE reviews but is classified as 'Low' risk (should be High),True
Study_21,Site 211,1,1,0,0,0,PATTERN_ANOMALY,1,1.1,Site has 4 pending SAE reviews but is classified as 'Low' risk (should be High),True
Study_21,Site 209,1,1,0,0,0,PATTERN_ANOMALY,1,1.1,Site has 3 pending SAE reviews but is classified as 'Low' risk (should be High),True
Study_21,Site 2,1,1,0,0,0,PATTERN_ANOMALY,1,1.1,Site has 3 pending SAE reviews but is classified as 'Low' risk (should be High),True
Study_21,Site 194,1,1,0,0,0,PATTERN_ANOMALY,1,1.1,Site has 4 pending SAE reviews but is classified as 'Low' risk (should be High),True
Study_21,Site 192,1,1,0,0,0,PATTERN_ANOMALY,1,1.1,Site has 4 pending SAE reviews but is classified as 'Medium' risk (should be High),True
Study_21,Site 181,1,1,0,0,0,PATTERN_ANOMALY,1,1.1,Site has 3 pending SAE reviews but is classified as 'Low' risk (should be High),True
Study_21,Site 168,1,1,0,0,0,PATTERN_ANOMALY,1,1.1,Site has 3 pending SAE reviews but is classified as 'Medium' risk (should be High),True
Study_21,Site 164,1,1,0,0,0,PATTERN_ANOMALY,1,1.1,Site has 14 pending SAE reviews but is classified as 'Medium' risk (should be High),True
Study_21,Site 1639,1,1,0,0,0,PATTERN_ANOMALY,1,1.1,Site has 3 pending SAE reviews but is classified as 'Low' risk (should be High),True
Study_21,Site 1625,1,1,0,0,0,PATTERN_ANOMALY,1,1.1,Site has 4 pending SAE reviews but is classified as 'Low' risk (should be High),True
Study_21,Site 1614,1,1,0,0,0,PATTERN_ANOMALY,1,1.1,Site has 4 pending SAE reviews but is classified as 'Medium' risk (should be High),True
Study_21,Site 1609,1,1,0,0,0,PATTERN_ANOMALY,1,1.1,Site has 4 pending SAE reviews but is classified as 'Low' risk (should be High),True
Study_21,Site 1607,1,1,0,0,0,PATTERN_ANOMALY,1,1.1,Site has 4 pending SAE reviews but is classified as 'Medium' risk (should be High),True
Study_21,Site 1605,1,1,0,0,0,PATTERN_ANOMALY,1,1.1,Site has 4 pending SAE reviews but is classified as 'Low' risk (should be High),True
Study_21,Site 1603,1,1,0,0,0,PATTERN_ANOMALY,1,1.1,Site has 3 pending SAE reviews but is classified as 'Medium' risk (should be High),True
Study_21,Site 16,1,1,0,0,0,PATTERN_ANOMALY,1,1.1,Site has 4 pending SAE reviews but is classified as 'Low' risk (should be High),True
Study_21,Site 1598,1,1,0,0,0,PATTERN_ANOMALY,1,1.1,Site has 3 pending SAE reviews but is classified as 'Low' risk (should be High),True
Study_21,Site 1596,1,1,0,0,0,PATTERN_ANOMALY,1,1.1,Site has 3 pending SAE reviews but is classified as 'Low' risk (should be High),True
Study_21,Site 1591,1,1,0,0,0,PATTERN_ANOMALY,1,1.1,Site has 4 pending SAE reviews but is classified as 'Low' risk (should be High),True
Study_21,Site 1586,1,1,0,0,0,PATTERN_ANOMALY,1,1.1,Site has 4 pending SAE reviews but is classified as 'Low' risk (should be High),True
Study_21,Site 1582,1,1,0,0,0,PATTERN_ANOMALY,1,1.1,Site has 3 pending SAE reviews but is classified as 'Low' risk (should be High),True
Study_21,Site 1580,1,1,0,0,0,PATTERN_ANOMALY,1,1.1,Site has 3 pending SAE reviews but is classified as 'Low' risk (should be High),True
Study_21,Site 1579,1,1,0,0,0,PATTERN_ANOMALY,1,1.1,Site has 9 pending SAE reviews but is classified as 'Medium' risk (should be High),True
Study_21,Site 869,1,1,0,0,0,PATTERN_ANOMALY,1,1.1,Site has 4 pending SAE reviews but is classified as 'Low' risk (should be High),True
Study_21,Site 1577,1,1,0,0,0,PATTERN_ANOMALY,1,1.1,Site has 3 pending SAE reviews but is classified as 'Low' risk (should be High),True
Study_21,Site 1576,1,1,0,0,0,PATTERN_ANOMALY,1,1.1,Site has 3 pending SAE reviews but is classified as 'Low' risk (should be High),True
Study_21,Site 1574,1,1,0,0,0,PATTERN_ANOMALY,1,1.1,Site has 4 pending SAE reviews but is classified as 'Medium' risk (should be High),True
Study_21,Site 1575,1,1,0,0,0,PATTERN_ANOMALY,1,1.1,Site has 4 pending SAE reviews but is classified as 'Medium' risk (should be High),True
Study_21,Site 1571,1,1,0,0,0,PATTERN_ANOMALY,1,1.1,Site has 3 pending SAE reviews but is classified as 'Low' risk (should be High),True
Study_21,Site 1567,1,1,0,0,0,PATTERN_ANOMALY,1,1.1,Site has 4 pending SAE reviews but is classified as 'Low' risk (should be High),True
Study_21,Site 1566,1,1,0,0,0,PATTERN_ANOMALY,1,1.1,Site has 4 pending SAE reviews but is classified as 'Medium' risk (should be High),True
Study_22,Site 2066,3,2,1,0,0,"PATTERN_ANOMALY, STATISTICAL_OUTLIER",2,1.1,Missing Visit Count is 7.6σ above average (11 vs mean 0.5); Max Days Outstanding is 15.5σ above average (653 vs mean 11.0); Site has 26 missing items outstanding for 653+ days,True
Study_21,Site 1540,1,1,0,0,0,PATTERN_ANOMALY,1,1.1,Site has 4 pending SAE reviews but is classified as 'Low' risk (should be High),True
Study_21,Site 1536,1,1,0,0,0,PATTERN_ANOMALY,1,1.1,Site has 3 pending SAE reviews but is classified as 'Medium' risk (should be High),True
Study_21,Site 1533,1,1,0,0,0,PATTERN_ANOMALY,1,1.1,Site has 4 pending SAE reviews but is classified as 'Low' risk (should be High),True
Study_21,Site 1517,1,1,0,0,0,PATTERN_ANOMALY,1,1.1,Site has 3 pending SAE reviews but is classified as 'Low' risk (should be High),True
Study_21,Site 1515,1,1,0,0,0,PATTERN_ANOMALY,1,1.1,Site has 4 pending SAE reviews but is classified as 'Low' risk (should be High),True
Study_21,Site 1512,1,1,0,0,0,PATTERN_ANOMALY,1,1.1,Site has 4 pending SAE reviews but is classified as 'Medium' risk (should be High),True
Study_21,Site 1511,1,1,0,0,0,PATTERN_ANOMALY,1,1.1,Site has 3 pending SAE reviews but is classified as 'Low' risk (should be High),True
Study_21,Site 155,1,1,0,0,0,PATTERN_ANOMALY,1,1.1,Site has 4 pending SAE reviews but is classified as 'Low' risk (should be High),True
Study_21,Site 1506,1,1,0,0,0,PATTERN_ANOMALY,1,1.1,Site has 8 pending SAE reviews but is classified as 'Medium' risk (should be High),True
Study_21,Site 1501,1,1,0,0,0,PATTERN_ANOMALY,1,1.1,Site has 4 pending SAE reviews but is classified as 'Medium' risk (should be High),True
Study_21,Site 1500,1,1,0,0,0,PATTERN_ANOMALY,1,1.1,Site has 3 pending SAE reviews but is classified as 'Low' risk (should be High),True
Study_21,Site 1494,1,1,0,0,0,PATTERN_ANOMALY,1,1.1,Site has 3 pending SAE reviews but is classified as 'Low' risk (should be High),True
Study_21,Site 1491,1,1,0,0,0,PATTERN_ANOMALY,1,1.1,Site has 3 pending SAE reviews but is classified as 'Low' risk (should be High),True
Study_21,Site 149,1,1,0,0,0,PATTERN_ANOMALY,1,1.1,Site has 3 pending SAE reviews but is classified as 'Medium' risk (should be High),True
Study_21,Site 1488,1,1,0,0,0,PATTERN_ANOMALY,1,1.1,Site has 4 pending SAE reviews but is classified as 'Medium' risk (should be High),True
Study_21,Site 1484,1,1,0,0,0,PATTERN_ANOMALY,1,1.1,Site has 4 pending SAE reviews but is classified as 'Low' risk (should be High),True
Study_21,Site 1483,1,1,0,0,0,PATTERN_ANOMALY,1,1.1,Site has 4 pending SAE reviews but is classified as 'Low' risk (should be High),True
Study_21,Site 1480,1,1,0,0,0,PATTERN_ANOMALY,1,1.1,Site has 3 pending SAE reviews but is classified as 'Low' risk (should be High),True
Study_21,Site 1476,1,1,0,0,0,PATTERN_ANOMALY,1,1.1,Site has 7 pending SAE reviews but is classified as 'Medium' risk (should be High),True
Study_21,Site 1451,1,1,0,0,0,PATTERN_ANOMALY,1,1.1,Site has 3 pending SAE reviews but is classified as 'Medium' risk (should be High),True
Study_21,Site 1440,1,1,0,0,0,PATTERN_ANOMALY,1,1.1,Site has 3 pending SAE reviews but is classified as 'Medium' risk (should be High),True
Study_21,Site 1435,1,1,0,0,0,PATTERN_ANOMALY,1,1.1,Site has 4 pending SAE reviews but is classified as 'Medium' risk (should be High),True
Study_21,Site 1434,1,1,0,0,0,PATTERN_ANOMALY,1,1.1,Site has 4 pending SAE reviews but is classified as 'Medium' risk (should be High),True
Study_21,Site 1508,1,1,0,0,0,PATTERN_ANOMALY,1,1.1,Site has 3 pending SAE reviews but is classified as 'Low' risk (should be High),True
Study_21,Site 1425,1,1,0,0,0,PATTERN_ANOMALY,1,1.1,Site has 3 pending SAE reviews but is classified as 'Low' risk (should be High),True
Study_21,Site 1420,1,1,0,0,0,PATTERN_ANOMALY,1,1.1,Site has 7 pending SAE reviews but is classified as 'Medium' risk (should be High),True
Study_21,Site 1419,1,1,0,0,0,PATTERN_ANOMALY,1,1.1,Site has 4 pending SAE reviews but is classified as 'Low' risk (should be High),True
Study_21,Site 1418,1,1,0,0,0,PATTERN_ANOMALY,1,1.1,Site has 4 pending SAE reviews but is classified as 'Low' risk (should be High),True
Study_21,Site 1416,1,1,0,0,0,PATTERN_ANOMALY,1,1.1,Site has 5 pending SAE reviews but is classified as 'Medium' risk (should be High),True
Study_21,Site 1407,1,1,0,0,0,PATTERN_ANOMALY,1,1.1,Site has 3 pending SAE reviews but is classified as 'Low' risk (should be High),True
Study_21,Site 1404,1,1,0,0,0,PATTERN_ANOMALY,1,1.1,Site has 3 pending SAE reviews but is classified as 'Medium' risk (should be High),True
Study_21,Site 1402,1,1,0,0,0,PATTERN_ANOMALY,1,1.1,Site has 7 pending SAE reviews but is classified as 'Medium' risk (should be High),True
Study_21,Site 1393,1,1,0,0,0,PATTERN_ANOMALY,1,1.1,Site has 4 pending SAE reviews but is classified as 'Medium' risk (should be High),True
Study_21,Site 1392,1,1,0,0,0,PATTERN_ANOMALY,1,1.1,Site has 3 pending SAE reviews but is classified as 'Low' risk (should be High),True
Study_21,Site 1386,1,1,0,0,0,PATTERN_ANOMALY,1,1.1,Site has 4 pending SAE reviews but is classified as 'Low' risk (should be High),True
Study_21,Site 1379,1,1,0,0,0,PATTERN_ANOMALY,1,1.1,Site has 10 pending SAE reviews but is classified as 'Medium' risk (should be High),True
Study_21,Site 1378,1,1,0,0,0,PATTERN_ANOMALY,1,1.1,Site has 3 pending SAE reviews but is classified as 'Medium' risk (should be High),True
Study_21,Site 1371,1,1,0,0,0,PATTERN_ANOMALY,1,1.1,Site has 3 pending SAE reviews but is classified as 'Low' risk (should be High),True
Study_21,Site 1369,1,1,0,0,0,PATTERN_ANOMALY,1,1.1,Site has 3 pending SAE reviews but is classified as 'Low' risk (should be High),True
Study_21,Site 1366,1,1,0,0,0,PATTERN_ANOMALY,1,1.1,Site has 5 pending SAE reviews but is classified as 'Low' risk (should be High),True
Study_21,Site 1364,1,1,0,0,0,PATTERN_ANOMALY,1,1.1,Site has 14 pending SAE reviews but is classified as 'Low' risk (should be High),True
Study_21,Site 259,1,1,0,0,0,STATISTICAL_OUTLIER,1,1.1,Max Days Outstanding is 5.3σ above average (232 vs mean 11.0),True
Study_21,Site 1362,1,1,0,0,0,PATTERN_ANOMALY,1,1.1,Site has 9 pending SAE reviews but is classified as 'Low' risk (should be High),True
Study_21,Site 1357,1,1,0,0,0,PATTERN_ANOMALY,1,1.1,Site has 4 pending SAE reviews but is classified as 'Medium' risk (should be High),True
Study_21,Site 1355,1,1,0,0,0,PATTERN_ANOMALY,1,1.1,Site has 9 pending SAE reviews but is classified as 'Medium' risk (should be High),True
Study_21,Site 1349,1,1,0,0,0,PATTERN_ANOMALY,1,1.1,Site has 3 pending SAE reviews but is classified as 'Medium' risk (should be High),True
Study_21,Site 1348,1,1,0,0,0,PATTERN_ANOMALY,1,1.1,Site has 4 pending SAE reviews but is classified as 'Medium' risk (should be High),True
Study_21,Site 1346,1,1,0,0,0,PATTERN_ANOMALY,1,1.1,Site has 3 pending SAE reviews but is classified as 'Medium' risk (should be High),True
Study_21,Site 1345,1,1,0,0,0,PATTERN_ANOMALY,1,1.1,Site has 4 pending SAE reviews but is classified as 'Low' risk (should be High),True
Study_21,Site 1340,1,1,0,0,0,PATTERN_ANOMALY,1,1.1,Site has 3 pending SAE reviews but is classified as 'Medium' risk (should be High),True
Study_21,Site 1334,1,1,0,0,0,PATTERN_ANOMALY,1,1.1,Site has 3 pending SAE reviews but is classified as 'Low' risk (should be High),True
Study_21,Site 1316,1,1,0,0,0,PATTERN_ANOMALY,1,1.1,Site has 3 pending SAE reviews but is classified as 'Low' risk (should be High),True
Study_21,Site 1312,1,1,0,0,0,PATTERN_ANOMALY,1,1.1,Site has 3 pending SAE reviews but is classified as 'Medium' risk (should be High),True
Study_21,Site 1310,1,1,0,0,0,PATTERN_ANOMALY,1,1.1,Site has 3 pending SAE reviews but is classified as 'Low' risk (should be High),True
Study_21,Site 1304,1,1,0,0,0,PATTERN_ANOMALY,1,1.1,Site has 4 pending SAE reviews but is classified as 'Low' risk (should be High),True
Study_21,Site 1433,1,1,0,0,0,PATTERN_ANOMALY,1,1.1,Site has 8 pending SAE reviews but is classified as 'Medium' risk (should be High),True
Study_21,Site 1302,1,1,0,0,0,PATTERN_ANOMALY,1,1.1,Site has 4 pending SAE reviews but is classified as 'Low' risk (should be High),True
Study_21,Site 1301,1,1,0,0,0,PATTERN_ANOMALY,1,1.1,Site has 3 pending SAE reviews but is classified as 'Medium' risk (should be High),True
Study_21,Site 1270,1,1,0,0,0,PATTERN_ANOMALY,1,1.1,Site has 5 pending SAE reviews but is classified as 'Low' risk (should be High),True
Study_21,Site 1286,1,1,0,0,0,PATTERN_ANOMALY,1,1.1,Site has 3 pending SAE reviews but is classified as 'Low' risk (should be High),True
Study_21,Site 1261,1,1,0,0,0,PATTERN_ANOMALY,1,1.1,Site has 4 pending SAE reviews but is classified as 'Medium' risk (should be High),True
Study_21,Site 1256,1,1,0,0,0,PATTERN_ANOMALY,1,1.1,Site has 3 pending SAE reviews but is classified as 'Medium' risk (should be High),True
Study_21,Site 1251,1,1,0,0,0,PATTERN_ANOMALY,1,1.1,Site has 3 pending SAE reviews but is classified as 'Low' risk (should be High),True
Study_21,Site 1264,1,1,0,0,0,PATTERN_ANOMALY,1,1.1,Site has 3 pending SAE reviews but is classified as 'Medium' risk (should be High),True
Study_21,Site 1241,1,1,0,0,0,PATTERN_ANOMALY,1,1.1,Site has 4 pending SAE reviews but is classified as 'Medium' risk (should be High),True
Study_21,Site 124,1,1,0,0,0,PATTERN_ANOMALY,1,1.1,Site has 3 pending SAE reviews but is classified as 'Low' risk (should be High),True
Study_21,Site 1237,1,1,0,0,0,PATTERN_ANOMALY,1,1.1,Site has 3 pending SAE reviews but is classified as 'Medium' risk (should be High),True
Study_21,Site 1236,1,1,0,0,0,PATTERN_ANOMALY,1,1.1,Site has 3 pending SAE reviews but is classified as 'Low' risk (should be High),True
Study_21,Site 1232,1,1,0,0,0,PATTERN_ANOMALY,1,1.1,Site has 3 pending SAE reviews but is classified as 'Low' risk (should be High),True
Study_21,Site 1230,1,1,0,0,0,PATTERN_ANOMALY,1,1.1,Site has 3 pending SAE reviews but is classified as 'Low' risk (should be High),True
Study_21,Site 1225,1,1,0,0,0,PATTERN_ANOMALY,1,1.1,Site has 4 pending SAE reviews but is classified as 'Low' risk (should be High),True
Study_21,Site 1246,1,1,0,0,0,PATTERN_ANOMALY,1,1.1,Site has 3 pending SAE reviews but is classified as 'Medium' risk (should be High),True
Study_21,Site 1219,1,1,0,0,0,PATTERN_ANOMALY,1,1.1,Site has 4 pending SAE reviews but is classified as 'Medium' risk (should be High),True
Study_21,Site 1211,1,1,0,0,0,PATTERN_ANOMALY,1,1.1,Site has 4 pending SAE reviews but is classified as 'Medium' risk (should be High),True
Study_11,Site 471,1,1,0,0,0,STATISTICAL_OUTLIER,1,1.1,Max Days Page Missing is 5.7σ above average (714 vs mean 24.3),True
Study_21,Site 1202,1,1,0,0,0,PATTERN_ANOMALY,1,1.1,Site has 4 pending SAE reviews but is classified as 'Low' risk (should be High),True
