anomaly_type,detection_method,level,study,site_id,country,region,metric,value,zscore,mean,std,severity,description,recommendation
STATISTICAL_OUTLIER,Z-Score,site,Study_21,Site 1194,USA,AMERICA,sae_pending_count_sum,49.0,8.17,1.9,5.77,CRITICAL,Sae Pending Count is 8.2σ above average (49 vs mean 1.9),Investigate elevated sae pending count at this site
STATISTICAL_OUTLIER,Z-Score,site,Study_21,Site 1216,USA,AMERICA,sae_pending_count_sum,21.0,3.31,1.9,5.77,MEDIUM,Sae Pending Count is 3.3σ above average (21 vs mean 1.9),Investigate elevated sae pending count at this site
STATISTICAL_OUTLIER,Z-Score,site,Study_21,Site 1220,USA,AMERICA,sae_pending_count_sum,48.0,7.99,1.9,5.77,CRITICAL,Sae Pending Count is 8.0σ above average (48 vs mean 1.9),Investigate elevated sae pending count at this site
STATISTICAL_OUTLIER,Z-Score,site,Study_21,Site 1359,BGR,EMEA,sae_pending_count_sum,27.0,4.35,1.9,5.77,HIGH,Sae Pending Count is 4.4σ above average (27 vs mean 1.9),Investigate elevated sae pending count at this site
STATISTICAL_OUTLIER,Z-Score,site,Study_21,Site 1370,BGR,EMEA,sae_pending_count_sum,28.0,4.53,1.9,5.77,HIGH,Sae Pending Count is 4.5σ above average (28 vs mean 1.9),Investigate elevated sae pending count at this site
STATISTICAL_OUTLIER,Z-Score,site,Study_21,Site 1389,COL,AMERICA,sae_pending_count_sum,39.0,6.43,1.9,5.77,CRITICAL,Sae Pending Count is 6.4σ above average (39 vs mean 1.9),Investigate elevated sae pending count at this site
STATISTICAL_OUTLIER,Z-Score,site,Study_21,Site 1390,COL,AMERICA,sae_pending_count_sum,21.0,3.31,1.9,5.77,MEDIUM,Sae Pending Count is 3.3σ above average (21 vs mean 1.9),Investigate elevated sae pending count at this site
STATISTICAL_OUTLIER,Z-Score,site,Study_21,Site 1400,CZE,EMEA,sae_pending_count_sum,24.0,3.83,1.9,5.77,MEDIUM,Sae Pending Count is 3.8σ above average (24 vs mean 1.9),Investigate elevated sae pending count at this site
STATISTICAL_OUTLIER,Z-Score,site,Study_21,Site 1421,DNK,EMEA,sae_pending_count_sum,22.0,3.49,1.9,5.77,MEDIUM,Sae Pending Count is 3.5σ above average (22 vs mean 1.9),Investigate elevated sae pending count at this site
STATISTICAL_OUTLIER,Z-Score,site,Study_21,Site 1436,HUN,EMEA,sae_pending_count_sum,43.0,7.13,1.9,5.77,CRITICAL,Sae Pending Count is 7.1σ above average (43 vs mean 1.9),Investigate elevated sae pending count at this site
STATISTICAL_OUTLIER,Z-Score,site,Study_21,Site 1446,HUN,EMEA,sae_pending_count_sum,20.0,3.14,1.9,5.77,MEDIUM,Sae Pending Count is 3.1σ above average (20 vs mean 1.9),Investigate elevated sae pending count at this site
STATISTICAL_OUTLIER,Z-Score,site,Study_21,Site 1456,ISR,EMEA,sae_pending_count_sum,20.0,3.14,1.9,5.77,MEDIUM,Sae Pending Count is 3.1σ above average (20 vs mean 1.9),Investigate elevated sae pending count at this site
STATISTICAL_OUTLIER,Z-Score,site,Study_21,Site 1467,LTU,EMEA,sae_pending_count_sum,31.0,5.05,1.9,5.77,CRITICAL,Sae Pending Count is 5.0σ above average (31 vs mean 1.9),Investigate elevated sae pending count at this site
STATISTICAL_OUTLIER,Z-Score,site,Study_21,Site 1468,LTU,EMEA,sae_pending_count_sum,25.0,4.01,1.9,5.77,HIGH,Sae Pending Count is 4.0σ above average (25 vs mean 1.9),Investigate elevated sae pending count at this site
STATISTICAL_OUTLIER,Z-Score,site,Study_21,Site 1471,LTU,EMEA,sae_pending_count_sum,25.0,4.01,1.9,5.77,HIGH,Sae Pending Count is 4.0σ above average (25 vs mean 1.9),Investigate elevated sae pending count at this site
STATISTICAL_OUTLIER,Z-Score,site,Study_21,Site 1504,NZL,ASIA,sae_pending_count_sum,32.0,5.22,1.9,5.77,CRITICAL,Sae Pending Count is 5.2σ above average (32 vs mean 1.9),Investigate elevated sae pending count at this site
STATISTICAL_OUTLIER,Z-Score,site,Study_21,Site 1510,POL,EMEA,sae_pending_count_sum,44.0,7.3,1.9,5.77,CRITICAL,Sae Pending Count is 7.3σ above average (44 vs mean 1.9),Investigate elevated sae pending count at this site
STATISTICAL_OUTLIER,Z-Score,site,Study_21,Site 1513,POL,EMEA,sae_pending_count_sum,29.0,4.7,1.9,5.77,HIGH,Sae Pending Count is 4.7σ above average (29 vs mean 1.9),Investigate elevated sae pending count at this site
STATISTICAL_OUTLIER,Z-Score,site,Study_21,Site 1514,POL,EMEA,sae_pending_count_sum,42.0,6.95,1.9,5.77,CRITICAL,Sae Pending Count is 7.0σ above average (42 vs mean 1.9),Investigate elevated sae pending count at this site
STATISTICAL_OUTLIER,Z-Score,site,Study_21,Site 1527,POL,EMEA,sae_pending_count_sum,24.0,3.83,1.9,5.77,MEDIUM,Sae Pending Count is 3.8σ above average (24 vs mean 1.9),Investigate elevated sae pending count at this site
STATISTICAL_OUTLIER,Z-Score,site,Study_21,Site 157,NLD,EMEA,sae_pending_count_sum,27.0,4.35,1.9,5.77,HIGH,Sae Pending Count is 4.4σ above average (27 vs mean 1.9),Investigate elevated sae pending count at this site
STATISTICAL_OUTLIER,Z-Score,site,Study_21,Site 162,PRT,EMEA,sae_pending_count_sum,38.0,6.26,1.9,5.77,CRITICAL,Sae Pending Count is 6.3σ above average (38 vs mean 1.9),Investigate elevated sae pending count at this site
STATISTICAL_OUTLIER,Z-Score,site,Study_21,Site 1627,SRB,EMEA,sae_pending_count_sum,21.0,3.31,1.9,5.77,MEDIUM,Sae Pending Count is 3.3σ above average (21 vs mean 1.9),Investigate elevated sae pending count at this site
STATISTICAL_OUTLIER,Z-Score,site,Study_21,Site 1630,SRB,EMEA,sae_pending_count_sum,30.0,4.87,1.9,5.77,HIGH,Sae Pending Count is 4.9σ above average (30 vs mean 1.9),Investigate elevated sae pending count at this site
STATISTICAL_OUTLIER,Z-Score,site,Study_21,Site 1632,SRB,EMEA,sae_pending_count_sum,21.0,3.31,1.9,5.77,MEDIUM,Sae Pending Count is 3.3σ above average (21 vs mean 1.9),Investigate elevated sae pending count at this site
STATISTICAL_OUTLIER,Z-Score,site,Study_21,Site 1640,SRB,EMEA,sae_pending_count_sum,21.0,3.31,1.9,5.77,MEDIUM,Sae Pending Count is 3.3σ above average (21 vs mean 1.9),Investigate elevated sae pending count at this site
STATISTICAL_OUTLIER,Z-Score,site,Study_21,Site 165,ARG,AMERICA,sae_pending_count_sum,30.0,4.87,1.9,5.77,HIGH,Sae Pending Count is 4.9σ above average (30 vs mean 1.9),Investigate elevated sae pending count at this site
STATISTICAL_OUTLIER,Z-Score,site,Study_21,Site 172,ARG,AMERICA,sae_pending_count_sum,27.0,4.35,1.9,5.77,HIGH,Sae Pending Count is 4.4σ above average (27 vs mean 1.9),Investigate elevated sae pending count at this site
STATISTICAL_OUTLIER,Z-Score,site,Study_21,Site 175,ARG,AMERICA,sae_pending_count_sum,43.0,7.13,1.9,5.77,CRITICAL,Sae Pending Count is 7.1σ above average (43 vs mean 1.9),Investigate elevated sae pending count at this site
STATISTICAL_OUTLIER,Z-Score,site,Study_21,Site 180,USA,AMERICA,sae_pending_count_sum,24.0,3.83,1.9,5.77,MEDIUM,Sae Pending Count is 3.8σ above average (24 vs mean 1.9),Investigate elevated sae pending count at this site
STATISTICAL_OUTLIER,Z-Score,site,Study_21,Site 201,CHN,ASIA,sae_pending_count_sum,23.0,3.66,1.9,5.77,MEDIUM,Sae Pending Count is 3.7σ above average (23 vs mean 1.9),Investigate elevated sae pending count at this site
STATISTICAL_OUTLIER,Z-Score,site,Study_21,Site 215,CHN,ASIA,sae_pending_count_sum,22.0,3.49,1.9,5.77,MEDIUM,Sae Pending Count is 3.5σ above average (22 vs mean 1.9),Investigate elevated sae pending count at this site
STATISTICAL_OUTLIER,Z-Score,site,Study_21,Site 22,USA,AMERICA,sae_pending_count_sum,48.0,7.99,1.9,5.77,CRITICAL,Sae Pending Count is 8.0σ above average (48 vs mean 1.9),Investigate elevated sae pending count at this site
STATISTICAL_OUTLIER,Z-Score,site,Study_21,Site 330,USA,AMERICA,sae_pending_count_sum,34.0,5.57,1.9,5.77,CRITICAL,Sae Pending Count is 5.6σ above average (34 vs mean 1.9),Investigate elevated sae pending count at this site
STATISTICAL_OUTLIER,Z-Score,site,Study_21,Site 356,ARG,AMERICA,sae_pending_count_sum,41.0,6.78,1.9,5.77,CRITICAL,Sae Pending Count is 6.8σ above average (41 vs mean 1.9),Investigate elevated sae pending count at this site
STATISTICAL_OUTLIER,Z-Score,site,Study_21,Site 520,ESP,EMEA,sae_pending_count_sum,152.0,26.03,1.9,5.77,CRITICAL,Sae Pending Count is 26.0σ above average (152 vs mean 1.9),Investigate elevated sae pending count at this site
STATISTICAL_OUTLIER,Z-Score,site,Study_21,Site 7,SGP,ASIA,sae_pending_count_sum,21.0,3.31,1.9,5.77,MEDIUM,Sae Pending Count is 3.3σ above average (21 vs mean 1.9),Investigate elevated sae pending count at this site
STATISTICAL_OUTLIER,Z-Score,site,Study_21,Site 814,FRA,EMEA,sae_pending_count_sum,27.0,4.35,1.9,5.77,HIGH,Sae Pending Count is 4.4σ above average (27 vs mean 1.9),Investigate elevated sae pending count at this site
STATISTICAL_OUTLIER,Z-Score,site,Study_21,Site 911,ARG,AMERICA,sae_pending_count_sum,26.0,4.18,1.9,5.77,HIGH,Sae Pending Count is 4.2σ above average (26 vs mean 1.9),Investigate elevated sae pending count at this site
STATISTICAL_OUTLIER,Z-Score,site,Study_21,Site 916,ARG,AMERICA,sae_pending_count_sum,41.0,6.78,1.9,5.77,CRITICAL,Sae Pending Count is 6.8σ above average (41 vs mean 1.9),Investigate elevated sae pending count at this site
STATISTICAL_OUTLIER,Z-Score,site,Study_21,Site 921,BRA,AMERICA,sae_pending_count_sum,33.0,5.39,1.9,5.77,CRITICAL,Sae Pending Count is 5.4σ above average (33 vs mean 1.9),Investigate elevated sae pending count at this site
STATISTICAL_OUTLIER,Z-Score,site,Study_21,Site 923,BRA,AMERICA,sae_pending_count_sum,21.0,3.31,1.9,5.77,MEDIUM,Sae Pending Count is 3.3σ above average (21 vs mean 1.9),Investigate elevated sae pending count at this site
STATISTICAL_OUTLIER,Z-Score,site,Study_21,Site 925,BRA,AMERICA,sae_pending_count_sum,36.0,5.91,1.9,5.77,CRITICAL,Sae Pending Count is 5.9σ above average (36 vs mean 1.9),Investigate elevated sae pending count at this site
STATISTICAL_OUTLIER,Z-Score,site,Study_21,Site 930,BRA,AMERICA,sae_pending_count_sum,28.0,4.53,1.9,5.77,HIGH,Sae Pending Count is 4.5σ above average (28 vs mean 1.9),Investigate elevated sae pending count at this site
STATISTICAL_OUTLIER,Z-Score,site,Study_21,Site 950,BRA,AMERICA,sae_pending_count_sum,37.0,6.09,1.9,5.77,CRITICAL,Sae Pending Count is 6.1σ above average (37 vs mean 1.9),Investigate elevated sae pending count at this site
STATISTICAL_OUTLIER,Z-Score,site,Study_21,Site 991,CHL,AMERICA,sae_pending_count_sum,39.0,6.43,1.9,5.77,CRITICAL,Sae Pending Count is 6.4σ above average (39 vs mean 1.9),Investigate elevated sae pending count at this site
STATISTICAL_OUTLIER,Z-Score,site,Study_22,Site 1044,USA,AMERICA,sae_pending_count_sum,24.0,3.83,1.9,5.77,MEDIUM,Sae Pending Count is 3.8σ above average (24 vs mean 1.9),Investigate elevated sae pending count at this site
STATISTICAL_OUTLIER,Z-Score,site,Study_22,Site 1057,USA,AMERICA,sae_pending_count_sum,38.0,6.26,1.9,5.77,CRITICAL,Sae Pending Count is 6.3σ above average (38 vs mean 1.9),Investigate elevated sae pending count at this site
STATISTICAL_OUTLIER,Z-Score,site,Study_22,Site 2063,USA,AMERICA,sae_pending_count_sum,36.0,5.91,1.9,5.77,CRITICAL,Sae Pending Count is 5.9σ above average (36 vs mean 1.9),Investigate elevated sae pending count at this site
STATISTICAL_OUTLIER,Z-Score,site,Study_22,Site 2081,USA,AMERICA,sae_pending_count_sum,24.0,3.83,1.9,5.77,MEDIUM,Sae Pending Count is 3.8σ above average (24 vs mean 1.9),Investigate elevated sae pending count at this site
STATISTICAL_OUTLIER,Z-Score,site,Study_22,Site 2089,USA,AMERICA,sae_pending_count_sum,32.0,5.22,1.9,5.77,CRITICAL,Sae Pending Count is 5.2σ above average (32 vs mean 1.9),Investigate elevated sae pending count at this site
STATISTICAL_OUTLIER,Z-Score,site,Study_22,Site 961,CAN,AMERICA,sae_pending_count_sum,22.0,3.49,1.9,5.77,MEDIUM,Sae Pending Count is 3.5σ above average (22 vs mean 1.9),Investigate elevated sae pending count at this site
STATISTICAL_OUTLIER,Z-Score,site,Study_24,Site 888,DEU,EMEA,sae_pending_count_sum,29.0,4.7,1.9,5.77,HIGH,Sae Pending Count is 4.7σ above average (29 vs mean 1.9),Investigate elevated sae pending count at this site
STATISTICAL_OUTLIER,Z-Score,site,Study_4,Site 211,USA,AMERICA,sae_pending_count_sum,54.0,9.03,1.9,5.77,CRITICAL,Sae Pending Count is 9.0σ above average (54 vs mean 1.9),Investigate elevated sae pending count at this site
STATISTICAL_OUTLIER,Z-Score,site,Study_4,Site 241,USA,AMERICA,sae_pending_count_sum,25.0,4.01,1.9,5.77,HIGH,Sae Pending Count is 4.0σ above average (25 vs mean 1.9),Investigate elevated sae pending count at this site
STATISTICAL_OUTLIER,Z-Score,site,Study_16,Site 602,USA,AMERICA,missing_visit_count_sum,5.0,3.27,0.47,1.39,MEDIUM,Missing Visit Count is 3.3σ above average (5 vs mean 0.5),Investigate elevated missing visit count at this site
STATISTICAL_OUTLIER,Z-Score,site,Study_16,Site 615,USA,AMERICA,missing_visit_count_sum,5.0,3.27,0.47,1.39,MEDIUM,Missing Visit Count is 3.3σ above average (5 vs mean 0.5),Investigate elevated missing visit count at this site
STATISTICAL_OUTLIER,Z-Score,site,Study_16,Site 623,CAN,AMERICA,missing_visit_count_sum,5.0,3.27,0.47,1.39,MEDIUM,Missing Visit Count is 3.3σ above average (5 vs mean 0.5),Investigate elevated missing visit count at this site
STATISTICAL_OUTLIER,Z-Score,site,Study_16,Site 625,CAN,AMERICA,missing_visit_count_sum,10.0,6.88,0.47,1.39,CRITICAL,Missing Visit Count is 6.9σ above average (10 vs mean 0.5),Investigate elevated missing visit count at this site
STATISTICAL_OUTLIER,Z-Score,site,Study_16,Site 637,BEL,EMEA,missing_visit_count_sum,7.0,4.71,0.47,1.39,HIGH,Missing Visit Count is 4.7σ above average (7 vs mean 0.5),Investigate elevated missing visit count at this site
STATISTICAL_OUTLIER,Z-Score,site,Study_16,Site 640,BEL,EMEA,missing_visit_count_sum,6.0,3.99,0.47,1.39,MEDIUM,Missing Visit Count is 4.0σ above average (6 vs mean 0.5),Investigate elevated missing visit count at this site
STATISTICAL_OUTLIER,Z-Score,site,Study_16,Site 642,FRA,EMEA,missing_visit_count_sum,5.0,3.27,0.47,1.39,MEDIUM,Missing Visit Count is 3.3σ above average (5 vs mean 0.5),Investigate elevated missing visit count at this site
STATISTICAL_OUTLIER,Z-Score,site,Study_16,Site 646,FRA,EMEA,missing_visit_count_sum,5.0,3.27,0.47,1.39,MEDIUM,Missing Visit Count is 3.3σ above average (5 vs mean 0.5),Investigate elevated missing visit count at this site
STATISTICAL_OUTLIER,Z-Score,site,Study_16,Site 654,HRV,EMEA,missing_visit_count_sum,6.0,3.99,0.47,1.39,MEDIUM,Missing Visit Count is 4.0σ above average (6 vs mean 0.5),Investigate elevated missing visit count at this site
STATISTICAL_OUTLIER,Z-Score,site,Study_16,Site 658,ITA,EMEA,missing_visit_count_sum,8.0,5.44,0.47,1.39,CRITICAL,Missing Visit Count is 5.4σ above average (8 vs mean 0.5),Investigate elevated missing visit count at this site
STATISTICAL_OUTLIER,Z-Score,site,Study_16,Site 661,ITA,EMEA,missing_visit_count_sum,7.0,4.71,0.47,1.39,HIGH,Missing Visit Count is 4.7σ above average (7 vs mean 0.5),Investigate elevated missing visit count at this site
STATISTICAL_OUTLIER,Z-Score,site,Study_16,Site 664,CZE,EMEA,missing_visit_count_sum,5.0,3.27,0.47,1.39,MEDIUM,Missing Visit Count is 3.3σ above average (5 vs mean 0.5),Investigate elevated missing visit count at this site
STATISTICAL_OUTLIER,Z-Score,site,Study_16,Site 667,GBR,EMEA,missing_visit_count_sum,6.0,3.99,0.47,1.39,MEDIUM,Missing Visit Count is 4.0σ above average (6 vs mean 0.5),Investigate elevated missing visit count at this site
STATISTICAL_OUTLIER,Z-Score,site,Study_16,Site 671,DEU,EMEA,missing_visit_count_sum,8.0,5.44,0.47,1.39,CRITICAL,Missing Visit Count is 5.4σ above average (8 vs mean 0.5),Investigate elevated missing visit count at this site
STATISTICAL_OUTLIER,Z-Score,site,Study_16,Site 672,DEU,EMEA,missing_visit_count_sum,5.0,3.27,0.47,1.39,MEDIUM,Missing Visit Count is 3.3σ above average (5 vs mean 0.5),Investigate elevated missing visit count at this site
STATISTICAL_OUTLIER,Z-Score,site,Study_16,Site 674,DEU,EMEA,missing_visit_count_sum,5.0,3.27,0.47,1.39,MEDIUM,Missing Visit Count is 3.3σ above average (5 vs mean 0.5),Investigate elevated missing visit count at this site
STATISTICAL_OUTLIER,Z-Score,site,Study_16,Site 675,MEX,AMERICA,missing_visit_count_sum,7.0,4.71,0.47,1.39,HIGH,Missing Visit Count is 4.7σ above average (7 vs mean 0.5),Investigate elevated missing visit count at this site
STATISTICAL_OUTLIER,Z-Score,site,Study_16,Site 678,ARG,AMERICA,missing_visit_count_sum,11.0,7.6,0.47,1.39,CRITICAL,Missing Visit Count is 7.6σ above average (11 vs mean 0.5),Investigate elevated missing visit count at this site
STATISTICAL_OUTLIER,Z-Score,site,Study_16,Site 679,ARG,AMERICA,missing_visit_count_sum,8.0,5.44,0.47,1.39,CRITICAL,Missing Visit Count is 5.4σ above average (8 vs mean 0.5),Investigate elevated missing visit count at this site
STATISTICAL_OUTLIER,Z-Score,site,Study_16,Site 684,BRA,AMERICA,missing_visit_count_sum,13.0,9.05,0.47,1.39,CRITICAL,Missing Visit Count is 9.0σ above average (13 vs mean 0.5),Investigate elevated missing visit count at this site
STATISTICAL_OUTLIER,Z-Score,site,Study_16,Site 696,AUS,ASIA,missing_visit_count_sum,7.0,4.71,0.47,1.39,HIGH,Missing Visit Count is 4.7σ above average (7 vs mean 0.5),Investigate elevated missing visit count at this site
STATISTICAL_OUTLIER,Z-Score,site,Study_16,Site 702,AUS,ASIA,missing_visit_count_sum,12.0,8.32,0.47,1.39,CRITICAL,Missing Visit Count is 8.3σ above average (12 vs mean 0.5),Investigate elevated missing visit count at this site
STATISTICAL_OUTLIER,Z-Score,site,Study_16,Site 708,JPN,ASIA,missing_visit_count_sum,6.0,3.99,0.47,1.39,MEDIUM,Missing Visit Count is 4.0σ above average (6 vs mean 0.5),Investigate elevated missing visit count at this site
STATISTICAL_OUTLIER,Z-Score,site,Study_16,Site 725,KOR,ASIA,missing_visit_count_sum,24.0,16.99,0.47,1.39,CRITICAL,Missing Visit Count is 17.0σ above average (24 vs mean 0.5),Investigate elevated missing visit count at this site
STATISTICAL_OUTLIER,Z-Score,site,Study_16,Site 735,CHN,ASIA,missing_visit_count_sum,7.0,4.71,0.47,1.39,HIGH,Missing Visit Count is 4.7σ above average (7 vs mean 0.5),Investigate elevated missing visit count at this site
STATISTICAL_OUTLIER,Z-Score,site,Study_16,Site 740,CHN,ASIA,missing_visit_count_sum,7.0,4.71,0.47,1.39,HIGH,Missing Visit Count is 4.7σ above average (7 vs mean 0.5),Investigate elevated missing visit count at this site
STATISTICAL_OUTLIER,Z-Score,site,Study_16,Site 742,CHN,ASIA,missing_visit_count_sum,7.0,4.71,0.47,1.39,HIGH,Missing Visit Count is 4.7σ above average (7 vs mean 0.5),Investigate elevated missing visit count at this site
STATISTICAL_OUTLIER,Z-Score,site,Study_16,Site 745,CHN,ASIA,missing_visit_count_sum,7.0,4.71,0.47,1.39,HIGH,Missing Visit Count is 4.7σ above average (7 vs mean 0.5),Investigate elevated missing visit count at this site
STATISTICAL_OUTLIER,Z-Score,site,Study_16,Site 771,ISR,EMEA,missing_visit_count_sum,7.0,4.71,0.47,1.39,HIGH,Missing Visit Count is 4.7σ above average (7 vs mean 0.5),Investigate elevated missing visit count at this site
STATISTICAL_OUTLIER,Z-Score,site,Study_16,Site 772,ISR,EMEA,missing_visit_count_sum,7.0,4.71,0.47,1.39,HIGH,Missing Visit Count is 4.7σ above average (7 vs mean 0.5),Investigate elevated missing visit count at this site
STATISTICAL_OUTLIER,Z-Score,site,Study_21,Site 1070,USA,AMERICA,missing_visit_count_sum,7.0,4.71,0.47,1.39,HIGH,Missing Visit Count is 4.7σ above average (7 vs mean 0.5),Investigate elevated missing visit count at this site
STATISTICAL_OUTLIER,Z-Score,site,Study_21,Site 1234,USA,AMERICA,missing_visit_count_sum,6.0,3.99,0.47,1.39,MEDIUM,Missing Visit Count is 4.0σ above average (6 vs mean 0.5),Investigate elevated missing visit count at this site
STATISTICAL_OUTLIER,Z-Score,site,Study_21,Site 1381,BGR,EMEA,missing_visit_count_sum,5.0,3.27,0.47,1.39,MEDIUM,Missing Visit Count is 3.3σ above average (5 vs mean 0.5),Investigate elevated missing visit count at this site
STATISTICAL_OUTLIER,Z-Score,site,Study_21,Site 1467,LTU,EMEA,missing_visit_count_sum,6.0,3.99,0.47,1.39,MEDIUM,Missing Visit Count is 4.0σ above average (6 vs mean 0.5),Investigate elevated missing visit count at this site
STATISTICAL_OUTLIER,Z-Score,site,Study_21,Site 1513,POL,EMEA,missing_visit_count_sum,5.0,3.27,0.47,1.39,MEDIUM,Missing Visit Count is 3.3σ above average (5 vs mean 0.5),Investigate elevated missing visit count at this site
STATISTICAL_OUTLIER,Z-Score,site,Study_21,Site 1520,POL,EMEA,missing_visit_count_sum,8.0,5.44,0.47,1.39,CRITICAL,Missing Visit Count is 5.4σ above average (8 vs mean 0.5),Investigate elevated missing visit count at this site
STATISTICAL_OUTLIER,Z-Score,site,Study_21,Site 1541,ROU,EMEA,missing_visit_count_sum,12.0,8.32,0.47,1.39,CRITICAL,Missing Visit Count is 8.3σ above average (12 vs mean 0.5),Investigate elevated missing visit count at this site
STATISTICAL_OUTLIER,Z-Score,site,Study_21,Site 1555,SVN,EMEA,missing_visit_count_sum,7.0,4.71,0.47,1.39,HIGH,Missing Visit Count is 4.7σ above average (7 vs mean 0.5),Investigate elevated missing visit count at this site
STATISTICAL_OUTLIER,Z-Score,site,Study_21,Site 1632,SRB,EMEA,missing_visit_count_sum,6.0,3.99,0.47,1.39,MEDIUM,Missing Visit Count is 4.0σ above average (6 vs mean 0.5),Investigate elevated missing visit count at this site
STATISTICAL_OUTLIER,Z-Score,site,Study_21,Site 1636,SRB,EMEA,missing_visit_count_sum,8.0,5.44,0.47,1.39,CRITICAL,Missing Visit Count is 5.4σ above average (8 vs mean 0.5),Investigate elevated missing visit count at this site
STATISTICAL_OUTLIER,Z-Score,site,Study_21,Site 1638,SRB,EMEA,missing_visit_count_sum,5.0,3.27,0.47,1.39,MEDIUM,Missing Visit Count is 3.3σ above average (5 vs mean 0.5),Investigate elevated missing visit count at this site
STATISTICAL_OUTLIER,Z-Score,site,Study_21,Site 1640,SRB,EMEA,missing_visit_count_sum,27.0,19.15,0.47,1.39,CRITICAL,Missing Visit Count is 19.2σ above average (27 vs mean 0.5),Investigate elevated missing visit count at this site
STATISTICAL_OUTLIER,Z-Score,site,Study_21,Site 580,RUS,EMEA,missing_visit_count_sum,6.0,3.99,0.47,1.39,MEDIUM,Missing Visit Count is 4.0σ above average (6 vs mean 0.5),Investigate elevated missing visit count at this site
STATISTICAL_OUTLIER,Z-Score,site,Study_21,Site 909,ESP,EMEA,missing_visit_count_sum,5.0,3.27,0.47,1.39,MEDIUM,Missing Visit Count is 3.3σ above average (5 vs mean 0.5),Investigate elevated missing visit count at this site
STATISTICAL_OUTLIER,Z-Score,site,Study_21,Site 934,BRA,AMERICA,missing_visit_count_sum,5.0,3.27,0.47,1.39,MEDIUM,Missing Visit Count is 3.3σ above average (5 vs mean 0.5),Investigate elevated missing visit count at this site
STATISTICAL_OUTLIER,Z-Score,site,Study_21,Site 942,BRA,AMERICA,missing_visit_count_sum,5.0,3.27,0.47,1.39,MEDIUM,Missing Visit Count is 3.3σ above average (5 vs mean 0.5),Investigate elevated missing visit count at this site
STATISTICAL_OUTLIER,Z-Score,site,Study_22,Site 1164,USA,AMERICA,missing_visit_count_sum,9.0,6.16,0.47,1.39,CRITICAL,Missing Visit Count is 6.2σ above average (9 vs mean 0.5),Investigate elevated missing visit count at this site
STATISTICAL_OUTLIER,Z-Score,site,Study_22,Site 1179,USA,AMERICA,missing_visit_count_sum,7.0,4.71,0.47,1.39,HIGH,Missing Visit Count is 4.7σ above average (7 vs mean 0.5),Investigate elevated missing visit count at this site
STATISTICAL_OUTLIER,Z-Score,site,Study_22,Site 1336,HRV,EMEA,missing_visit_count_sum,5.0,3.27,0.47,1.39,MEDIUM,Missing Visit Count is 3.3σ above average (5 vs mean 0.5),Investigate elevated missing visit count at this site
